Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-2.526045, 2060-2079, bcc_csm1_1, Jan Anomaly, Afghanistan, AFG
0.3595316, 2060-2079, bcc_csm1_1, Feb Anomaly, Afghanistan, AFG
6.0399356, 2060-2079, bcc_csm1_1, Mar Anomaly, Afghanistan, AFG
1.6881025, 2060-2079, bcc_csm1_1, Apr Anomaly, Afghanistan, AFG
-5.1124277, 2060-2079, bcc_csm1_1, May Anomaly, Afghanistan, AFG
-0.16405627, 2060-2079, bcc_csm1_1, Jun Anomaly, Afghanistan, AFG
-1.1831636, 2060-2079, bcc_csm1_1, Jul Anomaly, Afghanistan, AFG
3.0351267, 2060-2079, bcc_csm1_1, Aug Anomaly, Afghanistan, AFG
0.31860211, 2060-2079, bcc_csm1_1, Sep Anomaly, Afghanistan, AFG
-0.9870742, 2060-2079, bcc_csm1_1, Oct Anomaly, Afghanistan, AFG
-7.2312756, 2060-2079, bcc_csm1_1, Nov Anomaly, Afghanistan, AFG
-4.329173, 2060-2079, bcc_csm1_1, Dec Anomaly, Afghanistan, AFG
2.6585972, 2060-2079, bcc_csm1_1_m, Jan Anomaly, Afghanistan, AFG
-5.4271345, 2060-2079, bcc_csm1_1_m, Feb Anomaly, Afghanistan, AFG
3.8935297, 2060-2079, bcc_csm1_1_m, Mar Anomaly, Afghanistan, AFG
0.588593, 2060-2079, bcc_csm1_1_m, Apr Anomaly, Afghanistan, AFG
-3.2014604, 2060-2079, bcc_csm1_1_m, May Anomaly, Afghanistan, AFG
6.7736983, 2060-2079, bcc_csm1_1_m, Jun Anomaly, Afghanistan, AFG
-2.490932, 2060-2079, bcc_csm1_1_m, Jul Anomaly, Afghanistan, AFG
2.8110805, 2060-2079, bcc_csm1_1_m, Aug Anomaly, Afghanistan, AFG
9.2013855, 2060-2079, bcc_csm1_1_m, Sep Anomaly, Afghanistan, AFG
6.8843384, 2060-2079, bcc_csm1_1_m, Oct Anomaly, Afghanistan, AFG
-1.082728, 2060-2079, bcc_csm1_1_m, Nov Anomaly, Afghanistan, AFG
-0.051337734, 2060-2079, bcc_csm1_1_m, Dec Anomaly, Afghanistan, AFG
14.192719, 2060-2079, ccsm4, Jan Anomaly, Afghanistan, AFG
2.0494952, 2060-2079, ccsm4, Feb Anomaly, Afghanistan, AFG
-4.9034905, 2060-2079, ccsm4, Mar Anomaly, Afghanistan, AFG
-6.964971, 2060-2079, ccsm4, Apr Anomaly, Afghanistan, AFG
-4.8526626, 2060-2079, ccsm4, May Anomaly, Afghanistan, AFG
0.2520256, 2060-2079, ccsm4, Jun Anomaly, Afghanistan, AFG
5.464604, 2060-2079, ccsm4, Jul Anomaly, Afghanistan, AFG
-8.830555, 2060-2079, ccsm4, Aug Anomaly, Afghanistan, AFG
2.6705406, 2060-2079, ccsm4, Sep Anomaly, Afghanistan, AFG
-1.1520262, 2060-2079, ccsm4, Oct Anomaly, Afghanistan, AFG
11.109006, 2060-2079, ccsm4, Nov Anomaly, Afghanistan, AFG
11.799574, 2060-2079, ccsm4, Dec Anomaly, Afghanistan, AFG
