Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-1.2837, 2060-2079, access1_3, Annual Anomaly, ALB
-1.5413, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ALB
-1.5687, 2060-2079, bcc_csm1_1, Annual Anomaly, ALB
-1.9768, 2060-2079, bnu_esm, Annual Anomaly, ALB
-1.3621, 2060-2079, canesm2, Annual Anomaly, ALB
-2.1934, 2060-2079, ccsm4, Annual Anomaly, ALB
-1.1712, 2060-2079, cesm1_bgc, Annual Anomaly, ALB
-0.976, 2060-2079, cesm1_cam5, Annual Anomaly, ALB
-1.7679, 2060-2079, cmcc_cesm, Annual Anomaly, ALB
-0.9239, 2060-2079, cmcc_cm, Annual Anomaly, ALB
-1.7648, 2060-2079, cmcc_cms, Annual Anomaly, ALB
-0.7218, 2060-2079, cnrm_cm5, Annual Anomaly, ALB
-2.4593, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ALB
-3.2152, 2060-2079, gfdl_cm3, Annual Anomaly, ALB
-0.9203, 2060-2079, gfdl_esm2g, Annual Anomaly, ALB
-1.4189, 2060-2079, gfdl_esm2m, Annual Anomaly, ALB
-2.3234, 2060-2079, inmcm4, Annual Anomaly, ALB
-1.9797, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ALB
-1.7691, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ALB
-1.6129, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, ALB
-1.2999, 2060-2079, miroc5, Annual Anomaly, ALB
-2.2235, 2060-2079, miroc_esm_chem, Annual Anomaly, ALB
-2.7949, 2060-2079, miroc_esm, Annual Anomaly, ALB
-1.3591, 2060-2079, mpi_esm_mr, Annual Anomaly, ALB
-0.4225, 2060-2079, mri_cgcm3, Annual Anomaly, ALB
-0.2964, 2060-2079, mri_esm1, Annual Anomaly, ALB
-1.1285, 2060-2079, noresm1_m, Annual Anomaly, ALB
-3.1061, 2060-2079, access1_3, Annual Anomaly, DZA
-1.7315, 2060-2079, bcc_csm1_1_m, Annual Anomaly, DZA
-1.906, 2060-2079, bcc_csm1_1, Annual Anomaly, DZA
-1.3644, 2060-2079, bnu_esm, Annual Anomaly, DZA
-2.1107, 2060-2079, canesm2, Annual Anomaly, DZA
-1.7604, 2060-2079, ccsm4, Annual Anomaly, DZA
-1.9165, 2060-2079, cesm1_bgc, Annual Anomaly, DZA
-1.8863, 2060-2079, cesm1_cam5, Annual Anomaly, DZA
-2.7952, 2060-2079, cmcc_cesm, Annual Anomaly, DZA
-2.8832, 2060-2079, cmcc_cm, Annual Anomaly, DZA
-3.221, 2060-2079, cmcc_cms, Annual Anomaly, DZA
-0.651, 2060-2079, cnrm_cm5, Annual Anomaly, DZA
-1.8126, 2060-2079, csiro_mk3_6_0, Annual Anomaly, DZA
-3.1507, 2060-2079, gfdl_cm3, Annual Anomaly, DZA
-1.0184, 2060-2079, gfdl_esm2g, Annual Anomaly, DZA
-1.7116, 2060-2079, gfdl_esm2m, Annual Anomaly, DZA
-2.0218, 2060-2079, inmcm4, Annual Anomaly, DZA
-3.2103, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, DZA
-3.0764, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, DZA
-2.4799, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, DZA
-1.914, 2060-2079, miroc5, Annual Anomaly, DZA
-1.4753, 2060-2079, miroc_esm_chem, Annual Anomaly, DZA
-2.4758, 2060-2079, miroc_esm, Annual Anomaly, DZA
-2.7304, 2060-2079, mpi_esm_mr, Annual Anomaly, DZA
-2.1928, 2060-2079, mri_cgcm3, Annual Anomaly, DZA
-2.2312, 2060-2079, mri_esm1, Annual Anomaly, DZA
-2.6091, 2060-2079, noresm1_m, Annual Anomaly, DZA
-1.4706, 2060-2079, access1_3, Annual Anomaly, AUS
-1.1778, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AUS
-0.7971, 2060-2079, bcc_csm1_1, Annual Anomaly, AUS
-1.0534, 2060-2079, bnu_esm, Annual Anomaly, AUS
-0.9795, 2060-2079, canesm2, Annual Anomaly, AUS
-0.304, 2060-2079, ccsm4, Annual Anomaly, AUS
-0.1738, 2060-2079, cesm1_bgc, Annual Anomaly, AUS
-0.5642, 2060-2079, cesm1_cam5, Annual Anomaly, AUS
-1.2749, 2060-2079, cmcc_cesm, Annual Anomaly, AUS
-1.0105, 2060-2079, cmcc_cm, Annual Anomaly, AUS
-1.4296, 2060-2079, cmcc_cms, Annual Anomaly, AUS
-0.0174, 2060-2079, cnrm_cm5, Annual Anomaly, AUS
-1.5817, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AUS
-1.5658, 2060-2079, gfdl_cm3, Annual Anomaly, AUS
-0.7525, 2060-2079, gfdl_esm2g, Annual Anomaly, AUS
-0.9054, 2060-2079, gfdl_esm2m, Annual Anomaly, AUS
-0.3335, 2060-2079, inmcm4, Annual Anomaly, AUS
-2.3082, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AUS
-2.3842, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AUS
-0.7124, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AUS
-0.0936, 2060-2079, miroc5, Annual Anomaly, AUS
-0.7471, 2060-2079, miroc_esm_chem, Annual Anomaly, AUS
-0.5305, 2060-2079, miroc_esm, Annual Anomaly, AUS
-1.1633, 2060-2079, mpi_esm_mr, Annual Anomaly, AUS
-0.666, 2060-2079, mri_cgcm3, Annual Anomaly, AUS
-0.606, 2060-2079, mri_esm1, Annual Anomaly, AUS
-0.1445, 2060-2079, noresm1_m, Annual Anomaly, AUS
-0.8188, 2060-2079, access1_3, Annual Anomaly, AUT
-1.0447, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AUT
-0.9216, 2060-2079, bcc_csm1_1, Annual Anomaly, AUT
-0.6089, 2060-2079, bnu_esm, Annual Anomaly, AUT
-0.6301, 2060-2079, canesm2, Annual Anomaly, AUT
-1.411, 2060-2079, ccsm4, Annual Anomaly, AUT
-1.9666, 2060-2079, cesm1_bgc, Annual Anomaly, AUT
-1.053, 2060-2079, cesm1_cam5, Annual Anomaly, AUT
0.08752, 2060-2079, cmcc_cesm, Annual Anomaly, AUT
-0.8345, 2060-2079, cmcc_cm, Annual Anomaly, AUT
-0.9268, 2060-2079, cmcc_cms, Annual Anomaly, AUT
0.73954, 2060-2079, cnrm_cm5, Annual Anomaly, AUT
-1.6327, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AUT
-2.1933, 2060-2079, gfdl_cm3, Annual Anomaly, AUT
-0.5516, 2060-2079, gfdl_esm2g, Annual Anomaly, AUT
-0.5871, 2060-2079, gfdl_esm2m, Annual Anomaly, AUT
-1.5031, 2060-2079, inmcm4, Annual Anomaly, AUT
-0.9822, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AUT
-1.3521, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AUT
-0.5885, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, AUT
-0.5086, 2060-2079, miroc5, Annual Anomaly, AUT
0.03234, 2060-2079, miroc_esm_chem, Annual Anomaly, AUT
-0.0807, 2060-2079, miroc_esm, Annual Anomaly, AUT
-1.3234, 2060-2079, mpi_esm_mr, Annual Anomaly, AUT
0.72045, 2060-2079, mri_cgcm3, Annual Anomaly, AUT
0.746, 2060-2079, mri_esm1, Annual Anomaly, AUT
-0.8056, 2060-2079, noresm1_m, Annual Anomaly, AUT
-1.647, 2060-2079, access1_3, Annual Anomaly, BHR
-1.7801, 2060-2079, bcc_csm1_1, Annual Anomaly, BHR
0.00868, 2060-2079, bnu_esm, Annual Anomaly, BHR
-1.428, 2060-2079, canesm2, Annual Anomaly, BHR
-1.2268, 2060-2079, ccsm4, Annual Anomaly, BHR
-0.855, 2060-2079, cesm1_bgc, Annual Anomaly, BHR
-0.8841, 2060-2079, cesm1_cam5, Annual Anomaly, BHR
-1.4282, 2060-2079, cmcc_cesm, Annual Anomaly, BHR
-2.3069, 2060-2079, cmcc_cm, Annual Anomaly, BHR
-2.3614, 2060-2079, cmcc_cms, Annual Anomaly, BHR
-1.8077, 2060-2079, cnrm_cm5, Annual Anomaly, BHR
-2.6027, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BHR
-1.4496, 2060-2079, gfdl_cm3, Annual Anomaly, BHR
-3.6566, 2060-2079, gfdl_esm2g, Annual Anomaly, BHR
-1.7963, 2060-2079, gfdl_esm2m, Annual Anomaly, BHR
-0.257, 2060-2079, inmcm4, Annual Anomaly, BHR
-3.421, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BHR
1.1913, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BHR
-3.0823, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BHR
-0.7584, 2060-2079, miroc5, Annual Anomaly, BHR
-0.7749, 2060-2079, miroc_esm_chem, Annual Anomaly, BHR
-0.8985, 2060-2079, miroc_esm, Annual Anomaly, BHR
-3.1598, 2060-2079, mpi_esm_mr, Annual Anomaly, BHR
-1.7815, 2060-2079, mri_cgcm3, Annual Anomaly, BHR
-1.4565, 2060-2079, mri_esm1, Annual Anomaly, BHR
-0.9511, 2060-2079, noresm1_m, Annual Anomaly, BHR
0.60528, 2060-2079, access1_3, Annual Anomaly, BGD
0.19481, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BGD
0.49298, 2060-2079, bcc_csm1_1, Annual Anomaly, BGD
0.12185, 2060-2079, bnu_esm, Annual Anomaly, BGD
0.54164, 2060-2079, canesm2, Annual Anomaly, BGD
-0.369, 2060-2079, ccsm4, Annual Anomaly, BGD
0.05223, 2060-2079, cesm1_bgc, Annual Anomaly, BGD
-0.1416, 2060-2079, cesm1_cam5, Annual Anomaly, BGD
0.37193, 2060-2079, cmcc_cesm, Annual Anomaly, BGD
1.40617, 2060-2079, cmcc_cm, Annual Anomaly, BGD
0.25271, 2060-2079, cmcc_cms, Annual Anomaly, BGD
0.86494, 2060-2079, cnrm_cm5, Annual Anomaly, BGD
0.43147, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BGD
0.47795, 2060-2079, gfdl_cm3, Annual Anomaly, BGD
-0.1045, 2060-2079, gfdl_esm2g, Annual Anomaly, BGD
0.24198, 2060-2079, gfdl_esm2m, Annual Anomaly, BGD
0.41912, 2060-2079, inmcm4, Annual Anomaly, BGD
-0.2152, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BGD
