Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.5059, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BGD
0.57586, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BGD
0.15942, 2060-2079, miroc5, Annual Anomaly, BGD
0.08857, 2060-2079, miroc_esm_chem, Annual Anomaly, BGD
0.35507, 2060-2079, miroc_esm, Annual Anomaly, BGD
-0.8369, 2060-2079, mpi_esm_mr, Annual Anomaly, BGD
0.78959, 2060-2079, mri_cgcm3, Annual Anomaly, BGD
0.52312, 2060-2079, mri_esm1, Annual Anomaly, BGD
-0.2135, 2060-2079, noresm1_m, Annual Anomaly, BGD
-1.0423, 2060-2079, access1_3, Annual Anomaly, BLR
-0.3776, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BLR
-0.4308, 2060-2079, bcc_csm1_1, Annual Anomaly, BLR
-0.0418, 2060-2079, bnu_esm, Annual Anomaly, BLR
-0.3575, 2060-2079, canesm2, Annual Anomaly, BLR
-0.796, 2060-2079, ccsm4, Annual Anomaly, BLR
-0.6755, 2060-2079, cesm1_bgc, Annual Anomaly, BLR
-1.2083, 2060-2079, cesm1_cam5, Annual Anomaly, BLR
1.04764, 2060-2079, cmcc_cesm, Annual Anomaly, BLR
0.17357, 2060-2079, cmcc_cm, Annual Anomaly, BLR
0.43359, 2060-2079, cmcc_cms, Annual Anomaly, BLR
0.41198, 2060-2079, cnrm_cm5, Annual Anomaly, BLR
-1.1311, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BLR
-0.7667, 2060-2079, gfdl_cm3, Annual Anomaly, BLR
-0.0363, 2060-2079, gfdl_esm2g, Annual Anomaly, BLR
-0.2355, 2060-2079, gfdl_esm2m, Annual Anomaly, BLR
0.14033, 2060-2079, inmcm4, Annual Anomaly, BLR
-0.4084, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BLR
-0.6981, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BLR
-0.1244, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BLR
-0.971, 2060-2079, miroc5, Annual Anomaly, BLR
0.18312, 2060-2079, miroc_esm_chem, Annual Anomaly, BLR
0.91534, 2060-2079, miroc_esm, Annual Anomaly, BLR
-0.0701, 2060-2079, mpi_esm_mr, Annual Anomaly, BLR
0.82597, 2060-2079, mri_cgcm3, Annual Anomaly, BLR
0.7098, 2060-2079, mri_esm1, Annual Anomaly, BLR
-0.8321, 2060-2079, noresm1_m, Annual Anomaly, BLR
-0.664, 2060-2079, access1_3, Annual Anomaly, BEL
-0.4139, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BEL
-0.7819, 2060-2079, bcc_csm1_1, Annual Anomaly, BEL
-0.1121, 2060-2079, bnu_esm, Annual Anomaly, BEL
-0.8823, 2060-2079, canesm2, Annual Anomaly, BEL
-0.9938, 2060-2079, ccsm4, Annual Anomaly, BEL
-1.2529, 2060-2079, cesm1_bgc, Annual Anomaly, BEL
-1.1809, 2060-2079, cesm1_cam5, Annual Anomaly, BEL
0.04571, 2060-2079, cmcc_cesm, Annual Anomaly, BEL
-1.377, 2060-2079, cmcc_cm, Annual Anomaly, BEL
-0.6857, 2060-2079, cmcc_cms, Annual Anomaly, BEL
0.00891, 2060-2079, cnrm_cm5, Annual Anomaly, BEL
-1.3386, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BEL
-1.4563, 2060-2079, gfdl_cm3, Annual Anomaly, BEL
-1.5117, 2060-2079, gfdl_esm2g, Annual Anomaly, BEL
-0.421, 2060-2079, gfdl_esm2m, Annual Anomaly, BEL
-1.169, 2060-2079, inmcm4, Annual Anomaly, BEL
-0.6953, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BEL
-0.7116, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BEL
0.58173, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BEL
-0.8066, 2060-2079, miroc5, Annual Anomaly, BEL
0.53464, 2060-2079, miroc_esm_chem, Annual Anomaly, BEL
1.36459, 2060-2079, miroc_esm, Annual Anomaly, BEL
-1.3676, 2060-2079, mpi_esm_mr, Annual Anomaly, BEL
-0.0961, 2060-2079, mri_cgcm3, Annual Anomaly, BEL
-0.0471, 2060-2079, mri_esm1, Annual Anomaly, BEL
-0.0819, 2060-2079, noresm1_m, Annual Anomaly, BEL
-2.2698, 2060-2079, access1_3, Annual Anomaly, BLZ
-1.6592, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BLZ
-0.8193, 2060-2079, bcc_csm1_1, Annual Anomaly, BLZ
-1.4301, 2060-2079, bnu_esm, Annual Anomaly, BLZ
-2.1706, 2060-2079, canesm2, Annual Anomaly, BLZ
-2.2526, 2060-2079, ccsm4, Annual Anomaly, BLZ
-2.4589, 2060-2079, cesm1_bgc, Annual Anomaly, BLZ
-1.8142, 2060-2079, cesm1_cam5, Annual Anomaly, BLZ
-0.2926, 2060-2079, cmcc_cesm, Annual Anomaly, BLZ
-0.4223, 2060-2079, cmcc_cm, Annual Anomaly, BLZ
-1.3492, 2060-2079, cmcc_cms, Annual Anomaly, BLZ
-0.0458, 2060-2079, cnrm_cm5, Annual Anomaly, BLZ
-0.4916, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BLZ
-0.2843, 2060-2079, gfdl_cm3, Annual Anomaly, BLZ
0.15462, 2060-2079, gfdl_esm2g, Annual Anomaly, BLZ
0.10175, 2060-2079, gfdl_esm2m, Annual Anomaly, BLZ
-1.698, 2060-2079, inmcm4, Annual Anomaly, BLZ
-1.7804, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BLZ
-2.6885, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BLZ
-1.1931, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BLZ
-0.215, 2060-2079, miroc5, Annual Anomaly, BLZ
-0.4882, 2060-2079, miroc_esm_chem, Annual Anomaly, BLZ
-0.0788, 2060-2079, miroc_esm, Annual Anomaly, BLZ
-0.6252, 2060-2079, mpi_esm_mr, Annual Anomaly, BLZ
-0.0615, 2060-2079, mri_cgcm3, Annual Anomaly, BLZ
-0.8403, 2060-2079, mri_esm1, Annual Anomaly, BLZ
-1.5621, 2060-2079, noresm1_m, Annual Anomaly, BLZ
-0.8195, 2060-2079, access1_3, Annual Anomaly, BOL
-0.4929, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BOL
-0.5147, 2060-2079, bcc_csm1_1, Annual Anomaly, BOL
-1.0871, 2060-2079, bnu_esm, Annual Anomaly, BOL
-1.7598, 2060-2079, canesm2, Annual Anomaly, BOL
-0.6689, 2060-2079, ccsm4, Annual Anomaly, BOL
-1.1339, 2060-2079, cesm1_bgc, Annual Anomaly, BOL
-0.8125, 2060-2079, cesm1_cam5, Annual Anomaly, BOL
0.69803, 2060-2079, cmcc_cesm, Annual Anomaly, BOL
-1.1767, 2060-2079, cmcc_cm, Annual Anomaly, BOL
-0.2956, 2060-2079, cmcc_cms, Annual Anomaly, BOL
0.19418, 2060-2079, cnrm_cm5, Annual Anomaly, BOL
-1.1651, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BOL
-1.8941, 2060-2079, gfdl_cm3, Annual Anomaly, BOL
-0.8477, 2060-2079, gfdl_esm2g, Annual Anomaly, BOL
-0.3402, 2060-2079, gfdl_esm2m, Annual Anomaly, BOL
-0.4175, 2060-2079, inmcm4, Annual Anomaly, BOL
-1.7473, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BOL
-1.609, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BOL
-1.1158, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BOL
-0.5026, 2060-2079, miroc5, Annual Anomaly, BOL
-2.1456, 2060-2079, miroc_esm_chem, Annual Anomaly, BOL
-2.1267, 2060-2079, miroc_esm, Annual Anomaly, BOL
-0.6021, 2060-2079, mpi_esm_mr, Annual Anomaly, BOL
-0.5998, 2060-2079, mri_cgcm3, Annual Anomaly, BOL
-0.5948, 2060-2079, mri_esm1, Annual Anomaly, BOL
-0.6667, 2060-2079, noresm1_m, Annual Anomaly, BOL
-0.9817, 2060-2079, access1_3, Annual Anomaly, BRA
-0.8694, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BRA
-0.5305, 2060-2079, bcc_csm1_1, Annual Anomaly, BRA
-0.4303, 2060-2079, bnu_esm, Annual Anomaly, BRA
-2.0292, 2060-2079, canesm2, Annual Anomaly, BRA
-0.6043, 2060-2079, ccsm4, Annual Anomaly, BRA
-0.883, 2060-2079, cesm1_bgc, Annual Anomaly, BRA
-1.2409, 2060-2079, cesm1_cam5, Annual Anomaly, BRA
0.52447, 2060-2079, cmcc_cesm, Annual Anomaly, BRA
-0.3149, 2060-2079, cmcc_cm, Annual Anomaly, BRA
-0.5812, 2060-2079, cmcc_cms, Annual Anomaly, BRA
-0.2015, 2060-2079, cnrm_cm5, Annual Anomaly, BRA
-0.7495, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BRA
-1.2475, 2060-2079, gfdl_cm3, Annual Anomaly, BRA
-0.5192, 2060-2079, gfdl_esm2g, Annual Anomaly, BRA
-0.3122, 2060-2079, gfdl_esm2m, Annual Anomaly, BRA
0.07827, 2060-2079, inmcm4, Annual Anomaly, BRA
0.47804, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BRA
0.66201, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BRA
-0.6458, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BRA
-0.1221, 2060-2079, miroc5, Annual Anomaly, BRA
-1.5871, 2060-2079, miroc_esm_chem, Annual Anomaly, BRA
-0.8778, 2060-2079, miroc_esm, Annual Anomaly, BRA
-0.781, 2060-2079, mpi_esm_mr, Annual Anomaly, BRA
-0.3889, 2060-2079, mri_cgcm3, Annual Anomaly, BRA
-0.2962, 2060-2079, mri_esm1, Annual Anomaly, BRA
-0.8655, 2060-2079, noresm1_m, Annual Anomaly, BRA
0.08506, 2060-2079, access1_3, Annual Anomaly, BRN
-0.1633, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BRN
0.20911, 2060-2079, bcc_csm1_1, Annual Anomaly, BRN
-0.0543, 2060-2079, bnu_esm, Annual Anomaly, BRN
-0.177, 2060-2079, canesm2, Annual Anomaly, BRN
0.7249, 2060-2079, ccsm4, Annual Anomaly, BRN
0.54143, 2060-2079, cesm1_bgc, Annual Anomaly, BRN
0.36142, 2060-2079, cesm1_cam5, Annual Anomaly, BRN
0.20425, 2060-2079, cmcc_cesm, Annual Anomaly, BRN
1.07861, 2060-2079, cmcc_cm, Annual Anomaly, BRN
0.36673, 2060-2079, cmcc_cms, Annual Anomaly, BRN
-0.1783, 2060-2079, cnrm_cm5, Annual Anomaly, BRN
-0.0378, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BRN
0.33589, 2060-2079, gfdl_cm3, Annual Anomaly, BRN
0.25144, 2060-2079, gfdl_esm2g, Annual Anomaly, BRN
0.40881, 2060-2079, gfdl_esm2m, Annual Anomaly, BRN
1.49505, 2060-2079, inmcm4, Annual Anomaly, BRN
1.5255, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BRN
1.76664, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BRN
-0.5959, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BRN
2.27261, 2060-2079, miroc5, Annual Anomaly, BRN
1.7788, 2060-2079, miroc_esm_chem, Annual Anomaly, BRN
0.5589, 2060-2079, miroc_esm, Annual Anomaly, BRN
0.27509, 2060-2079, mpi_esm_mr, Annual Anomaly, BRN
0.03672, 2060-2079, mri_cgcm3, Annual Anomaly, BRN
0.63184, 2060-2079, mri_esm1, Annual Anomaly, BRN
0.9096, 2060-2079, noresm1_m, Annual Anomaly, BRN
-1.7542, 2060-2079, access1_3, Annual Anomaly, BGR
-1.5595, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BGR
-1.4795, 2060-2079, bcc_csm1_1, Annual Anomaly, BGR
-1.7389, 2060-2079, bnu_esm, Annual Anomaly, BGR
-1.223, 2060-2079, canesm2, Annual Anomaly, BGR
-1.5375, 2060-2079, ccsm4, Annual Anomaly, BGR
-1.8204, 2060-2079, cesm1_bgc, Annual Anomaly, BGR
-1.2195, 2060-2079, cesm1_cam5, Annual Anomaly, BGR
-1.4155, 2060-2079, cmcc_cesm, Annual Anomaly, BGR
-0.8322, 2060-2079, cmcc_cm, Annual Anomaly, BGR
-1.4062, 2060-2079, cmcc_cms, Annual Anomaly, BGR
-0.3599, 2060-2079, cnrm_cm5, Annual Anomaly, BGR
-2.6077, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BGR
-3.4355, 2060-2079, gfdl_cm3, Annual Anomaly, BGR
-0.5536, 2060-2079, gfdl_esm2g, Annual Anomaly, BGR
-1.6193, 2060-2079, gfdl_esm2m, Annual Anomaly, BGR
-1.5606, 2060-2079, inmcm4, Annual Anomaly, BGR
-2.1688, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BGR
-2.5709, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BGR
-1.4305, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BGR
-1.2329, 2060-2079, miroc5, Annual Anomaly, BGR
-1.8856, 2060-2079, miroc_esm_chem, Annual Anomaly, BGR
-1.9241, 2060-2079, miroc_esm, Annual Anomaly, BGR
-1.2123, 2060-2079, mpi_esm_mr, Annual Anomaly, BGR
-0.3369, 2060-2079, mri_cgcm3, Annual Anomaly, BGR
-0.2103, 2060-2079, mri_esm1, Annual Anomaly, BGR
-1.2948, 2060-2079, noresm1_m, Annual Anomaly, BGR
-0.09, 2060-2079, access1_3, Annual Anomaly, BFA
-1.7539, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BFA
-1.1535, 2060-2079, bcc_csm1_1, Annual Anomaly, BFA
1.05877, 2060-2079, bnu_esm, Annual Anomaly, BFA
-2.3008, 2060-2079, canesm2, Annual Anomaly, BFA
0.03764, 2060-2079, ccsm4, Annual Anomaly, BFA
-0.8026, 2060-2079, cesm1_bgc, Annual Anomaly, BFA
-1.0557, 2060-2079, cesm1_cam5, Annual Anomaly, BFA
-0.6945, 2060-2079, cmcc_cesm, Annual Anomaly, BFA
-0.994, 2060-2079, cmcc_cm, Annual Anomaly, BFA
-0.7293, 2060-2079, cmcc_cms, Annual Anomaly, BFA
-0.4252, 2060-2079, cnrm_cm5, Annual Anomaly, BFA
-0.8557, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BFA
-0.0972, 2060-2079, gfdl_cm3, Annual Anomaly, BFA
0.11338, 2060-2079, gfdl_esm2g, Annual Anomaly, BFA
-1.0209, 2060-2079, gfdl_esm2m, Annual Anomaly, BFA
0.01857, 2060-2079, inmcm4, Annual Anomaly, BFA
-0.888, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BFA
-1.4726, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BFA
-1.1249, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, BFA
0.19203, 2060-2079, miroc5, Annual Anomaly, BFA
1.68948, 2060-2079, miroc_esm_chem, Annual Anomaly, BFA
2.01403, 2060-2079, miroc_esm, Annual Anomaly, BFA
-0.9469, 2060-2079, mpi_esm_mr, Annual Anomaly, BFA
-0.8379, 2060-2079, mri_cgcm3, Annual Anomaly, BFA
-0.4682, 2060-2079, mri_esm1, Annual Anomaly, BFA
0.20707, 2060-2079, noresm1_m, Annual Anomaly, BFA
-1.186, 2060-2079, access1_3, Annual Anomaly, KHM
0.01411, 2060-2079, bcc_csm1_1_m, Annual Anomaly, KHM
0.14157, 2060-2079, bcc_csm1_1, Annual Anomaly, KHM
0.30302, 2060-2079, bnu_esm, Annual Anomaly, KHM
-0.8587, 2060-2079, canesm2, Annual Anomaly, KHM
0.13878, 2060-2079, ccsm4, Annual Anomaly, KHM
0.76901, 2060-2079, cesm1_bgc, Annual Anomaly, KHM
0.24197, 2060-2079, cesm1_cam5, Annual Anomaly, KHM
0.47035, 2060-2079, cmcc_cesm, Annual Anomaly, KHM
1.18979, 2060-2079, cmcc_cm, Annual Anomaly, KHM
1.58617, 2060-2079, cmcc_cms, Annual Anomaly, KHM
0.72043, 2060-2079, cnrm_cm5, Annual Anomaly, KHM
0.98768, 2060-2079, csiro_mk3_6_0, Annual Anomaly, KHM
0.08808, 2060-2079, gfdl_cm3, Annual Anomaly, KHM
0.88317, 2060-2079, gfdl_esm2g, Annual Anomaly, KHM
0.54005, 2060-2079, gfdl_esm2m, Annual Anomaly, KHM
0.97975, 2060-2079, inmcm4, Annual Anomaly, KHM
-0.1141, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, KHM
0.01232, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, KHM
-0.1975, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, KHM
1.24042, 2060-2079, miroc5, Annual Anomaly, KHM
-1.333, 2060-2079, miroc_esm_chem, Annual Anomaly, KHM
-0.5099, 2060-2079, miroc_esm, Annual Anomaly, KHM
0.5535, 2060-2079, mpi_esm_mr, Annual Anomaly, KHM
0.18693, 2060-2079, mri_cgcm3, Annual Anomaly, KHM
1.28823, 2060-2079, mri_esm1, Annual Anomaly, KHM
