Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
9.419934, 2040-2059, bcc_csm1_1, Jan Anomaly, Albania, ALB
-8.095098, 2040-2059, bcc_csm1_1, Feb Anomaly, Albania, ALB
2.7435482, 2040-2059, bcc_csm1_1, Mar Anomaly, Albania, ALB
-14.936168, 2040-2059, bcc_csm1_1, Apr Anomaly, Albania, ALB
4.3890157, 2040-2059, bcc_csm1_1, May Anomaly, Albania, ALB
-5.577451, 2040-2059, bcc_csm1_1, Jun Anomaly, Albania, ALB
-7.271469, 2040-2059, bcc_csm1_1, Jul Anomaly, Albania, ALB
-4.176643, 2040-2059, bcc_csm1_1, Aug Anomaly, Albania, ALB
2.800124, 2040-2059, bcc_csm1_1, Sep Anomaly, Albania, ALB
-3.7954586, 2040-2059, bcc_csm1_1, Oct Anomaly, Albania, ALB
-2.4851658, 2040-2059, bcc_csm1_1, Nov Anomaly, Albania, ALB
8.309387, 2040-2059, bcc_csm1_1, Dec Anomaly, Albania, ALB
3.2460938, 2040-2059, bcc_csm1_1_m, Jan Anomaly, Albania, ALB
6.878868, 2040-2059, bcc_csm1_1_m, Feb Anomaly, Albania, ALB
-3.689359, 2040-2059, bcc_csm1_1_m, Mar Anomaly, Albania, ALB
7.695699, 2040-2059, bcc_csm1_1_m, Apr Anomaly, Albania, ALB
-4.5421352, 2040-2059, bcc_csm1_1_m, May Anomaly, Albania, ALB
-14.116069, 2040-2059, bcc_csm1_1_m, Jun Anomaly, Albania, ALB
2.4161117, 2040-2059, bcc_csm1_1_m, Jul Anomaly, Albania, ALB
-7.26998, 2040-2059, bcc_csm1_1_m, Aug Anomaly, Albania, ALB
2.1172135, 2040-2059, bcc_csm1_1_m, Sep Anomaly, Albania, ALB
-5.6805854, 2040-2059, bcc_csm1_1_m, Oct Anomaly, Albania, ALB
-2.6399968, 2040-2059, bcc_csm1_1_m, Nov Anomaly, Albania, ALB
-2.6861546, 2040-2059, bcc_csm1_1_m, Dec Anomaly, Albania, ALB
14.74557, 2040-2059, ccsm4, Jan Anomaly, Albania, ALB
-4.577993, 2040-2059, ccsm4, Feb Anomaly, Albania, ALB
-4.7157884, 2040-2059, ccsm4, Mar Anomaly, Albania, ALB
-22.444847, 2040-2059, ccsm4, Apr Anomaly, Albania, ALB
0.6620763, 2040-2059, ccsm4, May Anomaly, Albania, ALB
-3.6852589, 2040-2059, ccsm4, Jun Anomaly, Albania, ALB
2.5283506, 2040-2059, ccsm4, Jul Anomaly, Albania, ALB
-4.646238, 2040-2059, ccsm4, Aug Anomaly, Albania, ALB
0.05244382, 2040-2059, ccsm4, Sep Anomaly, Albania, ALB
-4.6377664, 2040-2059, ccsm4, Oct Anomaly, Albania, ALB
-24.094027, 2040-2059, ccsm4, Nov Anomaly, Albania, ALB
-14.098801, 2040-2059, ccsm4, Dec Anomaly, Albania, ALB
2.686905, 2040-2059, cesm1_cam5, Jan Anomaly, Albania, ALB
9.565658, 2040-2059, cesm1_cam5, Feb Anomaly, Albania, ALB
9.652951, 2040-2059, cesm1_cam5, Mar Anomaly, Albania, ALB
8.045131, 2040-2059, cesm1_cam5, Apr Anomaly, Albania, ALB
-0.82557297, 2040-2059, cesm1_cam5, May Anomaly, Albania, ALB
15.4581, 2040-2059, cesm1_cam5, Jun Anomaly, Albania, ALB
5.8736987, 2040-2059, cesm1_cam5, Jul Anomaly, Albania, ALB
-6.1782103, 2040-2059, cesm1_cam5, Aug Anomaly, Albania, ALB
-7.6406403, 2040-2059, cesm1_cam5, Sep Anomaly, Albania, ALB
-0.13728078, 2040-2059, cesm1_cam5, Oct Anomaly, Albania, ALB
5.756144, 2040-2059, cesm1_cam5, Nov Anomaly, Albania, ALB
-5.795443, 2040-2059, cesm1_cam5, Dec Anomaly, Albania, ALB
-17.705559, 2040-2059, csiro_mk3_6_0, Jan Anomaly, Albania, ALB
-16.616821, 2040-2059, csiro_mk3_6_0, Feb Anomaly, Albania, ALB
