Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-4.9373765, 2080-2099, bcc_csm1_1, Jan Anomaly, Albania, ALB
1.8209724, 2080-2099, bcc_csm1_1, Feb Anomaly, Albania, ALB
-5.5251327, 2080-2099, bcc_csm1_1, Mar Anomaly, Albania, ALB
-5.889998, 2080-2099, bcc_csm1_1, Apr Anomaly, Albania, ALB
-12.981875, 2080-2099, bcc_csm1_1, May Anomaly, Albania, ALB
-5.67366, 2080-2099, bcc_csm1_1, Jun Anomaly, Albania, ALB
-12.1187935, 2080-2099, bcc_csm1_1, Jul Anomaly, Albania, ALB
-7.672395, 2080-2099, bcc_csm1_1, Aug Anomaly, Albania, ALB
-11.855311, 2080-2099, bcc_csm1_1, Sep Anomaly, Albania, ALB
-8.599316, 2080-2099, bcc_csm1_1, Oct Anomaly, Albania, ALB
-1.7463125, 2080-2099, bcc_csm1_1, Nov Anomaly, Albania, ALB
10.19591, 2080-2099, bcc_csm1_1, Dec Anomaly, Albania, ALB
6.03538, 2080-2099, bcc_csm1_1_m, Jan Anomaly, Albania, ALB
-1.7776312, 2080-2099, bcc_csm1_1_m, Feb Anomaly, Albania, ALB
-17.876905, 2080-2099, bcc_csm1_1_m, Mar Anomaly, Albania, ALB
-2.3337033, 2080-2099, bcc_csm1_1_m, Apr Anomaly, Albania, ALB
-14.921643, 2080-2099, bcc_csm1_1_m, May Anomaly, Albania, ALB
-20.312958, 2080-2099, bcc_csm1_1_m, Jun Anomaly, Albania, ALB
-4.1854467, 2080-2099, bcc_csm1_1_m, Jul Anomaly, Albania, ALB
-10.114633, 2080-2099, bcc_csm1_1_m, Aug Anomaly, Albania, ALB
-14.181041, 2080-2099, bcc_csm1_1_m, Sep Anomaly, Albania, ALB
-27.145784, 2080-2099, bcc_csm1_1_m, Oct Anomaly, Albania, ALB
-11.808731, 2080-2099, bcc_csm1_1_m, Nov Anomaly, Albania, ALB
4.4038773, 2080-2099, bcc_csm1_1_m, Dec Anomaly, Albania, ALB
-5.277921, 2080-2099, ccsm4, Jan Anomaly, Albania, ALB
-17.555872, 2080-2099, ccsm4, Feb Anomaly, Albania, ALB
-4.3623376, 2080-2099, ccsm4, Mar Anomaly, Albania, ALB
-29.943897, 2080-2099, ccsm4, Apr Anomaly, Albania, ALB
-18.769314, 2080-2099, ccsm4, May Anomaly, Albania, ALB
-7.459318, 2080-2099, ccsm4, Jun Anomaly, Albania, ALB
-3.6469223, 2080-2099, ccsm4, Jul Anomaly, Albania, ALB
-6.0331345, 2080-2099, ccsm4, Aug Anomaly, Albania, ALB
