Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-6.162342, 2040-2059, bcc_csm1_1, Jan Anomaly, Afghanistan, AFG
7.3215694, 2040-2059, bcc_csm1_1, Feb Anomaly, Afghanistan, AFG
6.4720263, 2040-2059, bcc_csm1_1, Mar Anomaly, Afghanistan, AFG
4.816405, 2040-2059, bcc_csm1_1, Apr Anomaly, Afghanistan, AFG
-3.7834044, 2040-2059, bcc_csm1_1, May Anomaly, Afghanistan, AFG
-0.52599365, 2040-2059, bcc_csm1_1, Jun Anomaly, Afghanistan, AFG
-1.4454854, 2040-2059, bcc_csm1_1, Jul Anomaly, Afghanistan, AFG
2.1445367, 2040-2059, bcc_csm1_1, Aug Anomaly, Afghanistan, AFG
3.5353286, 2040-2059, bcc_csm1_1, Sep Anomaly, Afghanistan, AFG
-0.5040085, 2040-2059, bcc_csm1_1, Oct Anomaly, Afghanistan, AFG
-3.9227464, 2040-2059, bcc_csm1_1, Nov Anomaly, Afghanistan, AFG
7.2980733, 2040-2059, bcc_csm1_1, Dec Anomaly, Afghanistan, AFG
0.95851535, 2040-2059, bcc_csm1_1_m, Jan Anomaly, Afghanistan, AFG
-1.7122326, 2040-2059, bcc_csm1_1_m, Feb Anomaly, Afghanistan, AFG
5.8188076, 2040-2059, bcc_csm1_1_m, Mar Anomaly, Afghanistan, AFG
-9.247843, 2040-2059, bcc_csm1_1_m, Apr Anomaly, Afghanistan, AFG
-3.9943662, 2040-2059, bcc_csm1_1_m, May Anomaly, Afghanistan, AFG
-2.8427787, 2040-2059, bcc_csm1_1_m, Jun Anomaly, Afghanistan, AFG
-6.968819, 2040-2059, bcc_csm1_1_m, Jul Anomaly, Afghanistan, AFG
5.257453, 2040-2059, bcc_csm1_1_m, Aug Anomaly, Afghanistan, AFG
6.566372, 2040-2059, bcc_csm1_1_m, Sep Anomaly, Afghanistan, AFG
3.0509605, 2040-2059, bcc_csm1_1_m, Oct Anomaly, Afghanistan, AFG
1.2961502, 2040-2059, bcc_csm1_1_m, Nov Anomaly, Afghanistan, AFG
5.040891, 2040-2059, bcc_csm1_1_m, Dec Anomaly, Afghanistan, AFG
9.153378, 2040-2059, ccsm4, Jan Anomaly, Afghanistan, AFG
3.241824, 2040-2059, ccsm4, Feb Anomaly, Afghanistan, AFG
-3.528105, 2040-2059, ccsm4, Mar Anomaly, Afghanistan, AFG
4.5685024, 2040-2059, ccsm4, Apr Anomaly, Afghanistan, AFG
0.23572946, 2040-2059, ccsm4, May Anomaly, Afghanistan, AFG
-0.7373207, 2040-2059, ccsm4, Jun Anomaly, Afghanistan, AFG
9.180482, 2040-2059, ccsm4, Jul Anomaly, Afghanistan, AFG
-17.170586, 2040-2059, ccsm4, Aug Anomaly, Afghanistan, AFG
-0.7486388, 2040-2059, ccsm4, Sep Anomaly, Afghanistan, AFG
-0.58701116, 2040-2059, ccsm4, Oct Anomaly, Afghanistan, AFG
5.8645005, 2040-2059, ccsm4, Nov Anomaly, Afghanistan, AFG
12.64139, 2040-2059, ccsm4, Dec Anomaly, Afghanistan, AFG
-3.0008564, 2040-2059, cesm1_cam5, Jan Anomaly, Afghanistan, AFG
7.024578, 2040-2059, cesm1_cam5, Feb Anomaly, Afghanistan, AFG
2.6546154, 2040-2059, cesm1_cam5, Mar Anomaly, Afghanistan, AFG
10.991438, 2040-2059, cesm1_cam5, Apr Anomaly, Afghanistan, AFG
-1.5473452, 2040-2059, cesm1_cam5, May Anomaly, Afghanistan, AFG
-1.9587852, 2040-2059, cesm1_cam5, Jun Anomaly, Afghanistan, AFG
1.8293222, 2040-2059, cesm1_cam5, Jul Anomaly, Afghanistan, AFG
1.9438988, 2040-2059, cesm1_cam5, Aug Anomaly, Afghanistan, AFG
-1.2380434, 2040-2059, cesm1_cam5, Sep Anomaly, Afghanistan, AFG
3.0752244, 2040-2059, cesm1_cam5, Oct Anomaly, Afghanistan, AFG
6.687688, 2040-2059, cesm1_cam5, Nov Anomaly, Afghanistan, AFG
4.020753, 2040-2059, cesm1_cam5, Dec Anomaly, Afghanistan, AFG
1.3378463, 2040-2059, csiro_mk3_6_0, Jan Anomaly, Afghanistan, AFG
-5.924863, 2040-2059, csiro_mk3_6_0, Feb Anomaly, Afghanistan, AFG
-1.2987659, 2040-2059, csiro_mk3_6_0, Mar Anomaly, Afghanistan, AFG
-1.541289, 2040-2059, csiro_mk3_6_0, Apr Anomaly, Afghanistan, AFG
3.1067631, 2040-2059, csiro_mk3_6_0, May Anomaly, Afghanistan, AFG
-0.14138965, 2040-2059, csiro_mk3_6_0, Jun Anomaly, Afghanistan, AFG
0.2117545, 2040-2059, csiro_mk3_6_0, Jul Anomaly, Afghanistan, AFG
-0.83857775, 2040-2059, csiro_mk3_6_0, Aug Anomaly, Afghanistan, AFG
0.4558337, 2040-2059, csiro_mk3_6_0, Sep Anomaly, Afghanistan, AFG
-0.14802334, 2040-2059, csiro_mk3_6_0, Oct Anomaly, Afghanistan, AFG
1.4010147, 2040-2059, csiro_mk3_6_0, Nov Anomaly, Afghanistan, AFG
-1.252876, 2040-2059, csiro_mk3_6_0, Dec Anomaly, Afghanistan, AFG
-16.196478, 2040-2059, fio_esm, Jan Anomaly, Afghanistan, AFG
-8.904298, 2040-2059, fio_esm, Feb Anomaly, Afghanistan, AFG
