Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-4.308121, 2080-2099, bcc_csm1_1, Jan Anomaly, Antigua and Barbuda, ATG
1.8017387, 2080-2099, bcc_csm1_1, Feb Anomaly, Antigua and Barbuda, ATG
2.8085427, 2080-2099, bcc_csm1_1, Mar Anomaly, Antigua and Barbuda, ATG
-1.4775896, 2080-2099, bcc_csm1_1, Apr Anomaly, Antigua and Barbuda, ATG
-2.1133084, 2080-2099, bcc_csm1_1, May Anomaly, Antigua and Barbuda, ATG
-5.1291304, 2080-2099, bcc_csm1_1, Jun Anomaly, Antigua and Barbuda, ATG
-1.0157803, 2080-2099, bcc_csm1_1, Jul Anomaly, Antigua and Barbuda, ATG
1.7056644, 2080-2099, bcc_csm1_1, Aug Anomaly, Antigua and Barbuda, ATG
0.27684587, 2080-2099, bcc_csm1_1, Sep Anomaly, Antigua and Barbuda, ATG
-19.233496, 2080-2099, bcc_csm1_1, Oct Anomaly, Antigua and Barbuda, ATG
-22.185358, 2080-2099, bcc_csm1_1, Nov Anomaly, Antigua and Barbuda, ATG
8.060187, 2080-2099, bcc_csm1_1, Dec Anomaly, Antigua and Barbuda, ATG
0.66207707, 2080-2099, bcc_csm1_1_m, Jan Anomaly, Antigua and Barbuda, ATG
-1.4294916, 2080-2099, bcc_csm1_1_m, Feb Anomaly, Antigua and Barbuda, ATG
2.3875513, 2080-2099, bcc_csm1_1_m, Mar Anomaly, Antigua and Barbuda, ATG
1.2968218, 2080-2099, bcc_csm1_1_m, Apr Anomaly, Antigua and Barbuda, ATG
0.22985551, 2080-2099, bcc_csm1_1_m, May Anomaly, Antigua and Barbuda, ATG
2.121304, 2080-2099, bcc_csm1_1_m, Jun Anomaly, Antigua and Barbuda, ATG
-0.9515346, 2080-2099, bcc_csm1_1_m, Jul Anomaly, Antigua and Barbuda, ATG
-1.2317232, 2080-2099, bcc_csm1_1_m, Aug Anomaly, Antigua and Barbuda, ATG
-7.5411663, 2080-2099, bcc_csm1_1_m, Sep Anomaly, Antigua and Barbuda, ATG
1.5313026, 2080-2099, bcc_csm1_1_m, Oct Anomaly, Antigua and Barbuda, ATG
8.425056, 2080-2099, bcc_csm1_1_m, Nov Anomaly, Antigua and Barbuda, ATG
