Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
2.2886932, 2020-2039, bcc_csm1_1, Jan Anomaly, Afghanistan, AFG
1.568376, 2020-2039, bcc_csm1_1, Feb Anomaly, Afghanistan, AFG
4.437283, 2020-2039, bcc_csm1_1, Mar Anomaly, Afghanistan, AFG
-1.342528, 2020-2039, bcc_csm1_1, Apr Anomaly, Afghanistan, AFG
-4.851591, 2020-2039, bcc_csm1_1, May Anomaly, Afghanistan, AFG
0.07680223, 2020-2039, bcc_csm1_1, Jun Anomaly, Afghanistan, AFG
-1.653555, 2020-2039, bcc_csm1_1, Jul Anomaly, Afghanistan, AFG
1.4569223, 2020-2039, bcc_csm1_1, Aug Anomaly, Afghanistan, AFG
1.9605772, 2020-2039, bcc_csm1_1, Sep Anomaly, Afghanistan, AFG
-3.0426888, 2020-2039, bcc_csm1_1, Oct Anomaly, Afghanistan, AFG
-7.174396, 2020-2039, bcc_csm1_1, Nov Anomaly, Afghanistan, AFG
5.93481, 2020-2039, bcc_csm1_1, Dec Anomaly, Afghanistan, AFG
-2.7736752, 2020-2039, bcc_csm1_1_m, Jan Anomaly, Afghanistan, AFG
3.0545053, 2020-2039, bcc_csm1_1_m, Feb Anomaly, Afghanistan, AFG
4.1083508, 2020-2039, bcc_csm1_1_m, Mar Anomaly, Afghanistan, AFG
-9.823302, 2020-2039, bcc_csm1_1_m, Apr Anomaly, Afghanistan, AFG
-5.785511, 2020-2039, bcc_csm1_1_m, May Anomaly, Afghanistan, AFG
-0.8719577, 2020-2039, bcc_csm1_1_m, Jun Anomaly, Afghanistan, AFG
0.96516085, 2020-2039, bcc_csm1_1_m, Jul Anomaly, Afghanistan, AFG
9.937565, 2020-2039, bcc_csm1_1_m, Aug Anomaly, Afghanistan, AFG
0.64436054, 2020-2039, bcc_csm1_1_m, Sep Anomaly, Afghanistan, AFG
4.9954815, 2020-2039, bcc_csm1_1_m, Oct Anomaly, Afghanistan, AFG
-0.7104581, 2020-2039, bcc_csm1_1_m, Nov Anomaly, Afghanistan, AFG
2.6353102, 2020-2039, bcc_csm1_1_m, Dec Anomaly, Afghanistan, AFG
8.320678, 2020-2039, ccsm4, Jan Anomaly, Afghanistan, AFG
3.822258, 2020-2039, ccsm4, Feb Anomaly, Afghanistan, AFG
-1.3420942, 2020-2039, ccsm4, Mar Anomaly, Afghanistan, AFG
1.5900908, 2020-2039, ccsm4, Apr Anomaly, Afghanistan, AFG
-8.023433, 2020-2039, ccsm4, May Anomaly, Afghanistan, AFG
2.4172606, 2020-2039, ccsm4, Jun Anomaly, Afghanistan, AFG
0.069874994, 2020-2039, ccsm4, Jul Anomaly, Afghanistan, AFG
-16.053041, 2020-2039, ccsm4, Aug Anomaly, Afghanistan, AFG
1.2306234, 2020-2039, ccsm4, Sep Anomaly, Afghanistan, AFG
-1.1691198, 2020-2039, ccsm4, Oct Anomaly, Afghanistan, AFG
15.6598, 2020-2039, ccsm4, Nov Anomaly, Afghanistan, AFG
4.829137, 2020-2039, ccsm4, Dec Anomaly, Afghanistan, AFG
-1.3077197, 2020-2039, cesm1_cam5, Jan Anomaly, Afghanistan, AFG
4.73878, 2020-2039, cesm1_cam5, Feb Anomaly, Afghanistan, AFG
9.038734, 2020-2039, cesm1_cam5, Mar Anomaly, Afghanistan, AFG
15.686612, 2020-2039, cesm1_cam5, Apr Anomaly, Afghanistan, AFG
-3.8851488, 2020-2039, cesm1_cam5, May Anomaly, Afghanistan, AFG
-0.883958, 2020-2039, cesm1_cam5, Jun Anomaly, Afghanistan, AFG
-2.8484337, 2020-2039, cesm1_cam5, Jul Anomaly, Afghanistan, AFG
-0.56718665, 2020-2039, cesm1_cam5, Aug Anomaly, Afghanistan, AFG
-1.1897836, 2020-2039, cesm1_cam5, Sep Anomaly, Afghanistan, AFG
0.6711951, 2020-2039, cesm1_cam5, Oct Anomaly, Afghanistan, AFG
6.7922316, 2020-2039, cesm1_cam5, Nov Anomaly, Afghanistan, AFG
2.355624, 2020-2039, cesm1_cam5, Dec Anomaly, Afghanistan, AFG
2.4874473, 2020-2039, csiro_mk3_6_0, Jan Anomaly, Afghanistan, AFG
-0.6204782, 2020-2039, csiro_mk3_6_0, Feb Anomaly, Afghanistan, AFG
-2.7625997, 2020-2039, csiro_mk3_6_0, Mar Anomaly, Afghanistan, AFG
-1.8324125, 2020-2039, csiro_mk3_6_0, Apr Anomaly, Afghanistan, AFG
2.5248892, 2020-2039, csiro_mk3_6_0, May Anomaly, Afghanistan, AFG
0.13837175, 2020-2039, csiro_mk3_6_0, Jun Anomaly, Afghanistan, AFG
-0.17905024, 2020-2039, csiro_mk3_6_0, Jul Anomaly, Afghanistan, AFG
-0.3594504, 2020-2039, csiro_mk3_6_0, Aug Anomaly, Afghanistan, AFG
0.7814787, 2020-2039, csiro_mk3_6_0, Sep Anomaly, Afghanistan, AFG
0.66289765, 2020-2039, csiro_mk3_6_0, Oct Anomaly, Afghanistan, AFG
-0.19314946, 2020-2039, csiro_mk3_6_0, Nov Anomaly, Afghanistan, AFG
1.3921479, 2020-2039, csiro_mk3_6_0, Dec Anomaly, Afghanistan, AFG
-10.253801, 2020-2039, fio_esm, Jan Anomaly, Afghanistan, AFG
-4.1688, 2020-2039, fio_esm, Feb Anomaly, Afghanistan, AFG
1.2195848, 2020-2039, fio_esm, Mar Anomaly, Afghanistan, AFG
-9.202778, 2020-2039, fio_esm, Apr Anomaly, Afghanistan, AFG
-9.783757, 2020-2039, fio_esm, May Anomaly, Afghanistan, AFG
2.5787454, 2020-2039, fio_esm, Jun Anomaly, Afghanistan, AFG
1.6956699, 2020-2039, fio_esm, Jul Anomaly, Afghanistan, AFG
-0.05745115, 2020-2039, fio_esm, Aug Anomaly, Afghanistan, AFG
0.8104547, 2020-2039, fio_esm, Sep Anomaly, Afghanistan, AFG
-1.6391584, 2020-2039, fio_esm, Oct Anomaly, Afghanistan, AFG
-2.0061111, 2020-2039, fio_esm, Nov Anomaly, Afghanistan, AFG
-5.539493, 2020-2039, fio_esm, Dec Anomaly, Afghanistan, AFG
0.4077517, 2020-2039, gfdl_cm3, Jan Anomaly, Afghanistan, AFG
-10.562042, 2020-2039, gfdl_cm3, Feb Anomaly, Afghanistan, AFG
-4.4435873, 2020-2039, gfdl_cm3, Mar Anomaly, Afghanistan, AFG
0.7530075, 2020-2039, gfdl_cm3, Apr Anomaly, Afghanistan, AFG
-0.84458214, 2020-2039, gfdl_cm3, May Anomaly, Afghanistan, AFG
0.7995949, 2020-2039, gfdl_cm3, Jun Anomaly, Afghanistan, AFG
2.0244994, 2020-2039, gfdl_cm3, Jul Anomaly, Afghanistan, AFG
3.1095626, 2020-2039, gfdl_cm3, Aug Anomaly, Afghanistan, AFG
1.3360865, 2020-2039, gfdl_cm3, Sep Anomaly, Afghanistan, AFG
-1.6657667, 2020-2039, gfdl_cm3, Oct Anomaly, Afghanistan, AFG
-1.6164324, 2020-2039, gfdl_cm3, Nov Anomaly, Afghanistan, AFG
0.09108565, 2020-2039, gfdl_cm3, Dec Anomaly, Afghanistan, AFG
-0.51002115, 2020-2039, gfdl_esm2m, Jan Anomaly, Afghanistan, AFG
4.7630706, 2020-2039, gfdl_esm2m, Feb Anomaly, Afghanistan, AFG
4.458064, 2020-2039, gfdl_esm2m, Mar Anomaly, Afghanistan, AFG
13.6270485, 2020-2039, gfdl_esm2m, Apr Anomaly, Afghanistan, AFG
-6.722252, 2020-2039, gfdl_esm2m, May Anomaly, Afghanistan, AFG
-1.156248, 2020-2039, gfdl_esm2m, Jun Anomaly, Afghanistan, AFG
-1.1907748, 2020-2039, gfdl_esm2m, Jul Anomaly, Afghanistan, AFG
0.3489155, 2020-2039, gfdl_esm2m, Aug Anomaly, Afghanistan, AFG
-5.1387744, 2020-2039, gfdl_esm2m, Sep Anomaly, Afghanistan, AFG
-5.3769956, 2020-2039, gfdl_esm2m, Oct Anomaly, Afghanistan, AFG
-0.1485621, 2020-2039, gfdl_esm2m, Nov Anomaly, Afghanistan, AFG
-0.23633014, 2020-2039, gfdl_esm2m, Dec Anomaly, Afghanistan, AFG
5.417186, 2020-2039, giss_e2_h, Jan Anomaly, Afghanistan, AFG
6.283065, 2020-2039, giss_e2_h, Feb Anomaly, Afghanistan, AFG
-1.5747895, 2020-2039, giss_e2_h, Mar Anomaly, Afghanistan, AFG
