Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-1.667186, 2040-2059, bcc_csm1_1, Jan Anomaly, Afghanistan, AFG
-2.8482702, 2040-2059, bcc_csm1_1, Feb Anomaly, Afghanistan, AFG
1.036296, 2040-2059, bcc_csm1_1, Mar Anomaly, Afghanistan, AFG
1.4111564, 2040-2059, bcc_csm1_1, Apr Anomaly, Afghanistan, AFG
-10.932527, 2040-2059, bcc_csm1_1, May Anomaly, Afghanistan, AFG
-2.1266704, 2040-2059, bcc_csm1_1, Jun Anomaly, Afghanistan, AFG
-1.6416131, 2040-2059, bcc_csm1_1, Jul Anomaly, Afghanistan, AFG
2.6364765, 2040-2059, bcc_csm1_1, Aug Anomaly, Afghanistan, AFG
1.4633191, 2040-2059, bcc_csm1_1, Sep Anomaly, Afghanistan, AFG
-4.134871, 2040-2059, bcc_csm1_1, Oct Anomaly, Afghanistan, AFG
-5.713265, 2040-2059, bcc_csm1_1, Nov Anomaly, Afghanistan, AFG
1.0721064, 2040-2059, bcc_csm1_1, Dec Anomaly, Afghanistan, AFG
0.16709486, 2040-2059, bcc_csm1_1_m, Jan Anomaly, Afghanistan, AFG
-8.937034, 2040-2059, bcc_csm1_1_m, Feb Anomaly, Afghanistan, AFG
0.9108432, 2040-2059, bcc_csm1_1_m, Mar Anomaly, Afghanistan, AFG
-9.58154, 2040-2059, bcc_csm1_1_m, Apr Anomaly, Afghanistan, AFG
-5.702329, 2040-2059, bcc_csm1_1_m, May Anomaly, Afghanistan, AFG
4.5756373, 2040-2059, bcc_csm1_1_m, Jun Anomaly, Afghanistan, AFG
-4.818052, 2040-2059, bcc_csm1_1_m, Jul Anomaly, Afghanistan, AFG
7.488842, 2040-2059, bcc_csm1_1_m, Aug Anomaly, Afghanistan, AFG
8.932282, 2040-2059, bcc_csm1_1_m, Sep Anomaly, Afghanistan, AFG
4.8967733, 2040-2059, bcc_csm1_1_m, Oct Anomaly, Afghanistan, AFG
0.703576, 2040-2059, bcc_csm1_1_m, Nov Anomaly, Afghanistan, AFG
0.62093747, 2040-2059, bcc_csm1_1_m, Dec Anomaly, Afghanistan, AFG
12.721804, 2040-2059, ccsm4, Jan Anomaly, Afghanistan, AFG
-5.245528, 2040-2059, ccsm4, Feb Anomaly, Afghanistan, AFG
-11.467202, 2040-2059, ccsm4, Mar Anomaly, Afghanistan, AFG
