Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
2.153981, 2020-2039, bcc_csm1_1, Jan Anomaly, Afghanistan, AFG
0.7528846, 2020-2039, bcc_csm1_1, Feb Anomaly, Afghanistan, AFG
3.027762, 2020-2039, bcc_csm1_1, Mar Anomaly, Afghanistan, AFG
-1.1985214, 2020-2039, bcc_csm1_1, Apr Anomaly, Afghanistan, AFG
-1.7269835, 2020-2039, bcc_csm1_1, May Anomaly, Afghanistan, AFG
-0.5081259, 2020-2039, bcc_csm1_1, Jun Anomaly, Afghanistan, AFG
0.67681104, 2020-2039, bcc_csm1_1, Jul Anomaly, Afghanistan, AFG
1.8536595, 2020-2039, bcc_csm1_1, Aug Anomaly, Afghanistan, AFG
0.39822164, 2020-2039, bcc_csm1_1, Sep Anomaly, Afghanistan, AFG
-0.38150084, 2020-2039, bcc_csm1_1, Oct Anomaly, Afghanistan, AFG
2.7631152, 2020-2039, bcc_csm1_1, Nov Anomaly, Afghanistan, AFG
2.7226698, 2020-2039, bcc_csm1_1, Dec Anomaly, Afghanistan, AFG
3.8288205, 2020-2039, bcc_csm1_1_m, Jan Anomaly, Afghanistan, AFG
6.826645, 2020-2039, bcc_csm1_1_m, Feb Anomaly, Afghanistan, AFG
-0.5875411, 2020-2039, bcc_csm1_1_m, Mar Anomaly, Afghanistan, AFG
-5.3579984, 2020-2039, bcc_csm1_1_m, Apr Anomaly, Afghanistan, AFG
-0.29607165, 2020-2039, bcc_csm1_1_m, May Anomaly, Afghanistan, AFG
1.6138163, 2020-2039, bcc_csm1_1_m, Jun Anomaly, Afghanistan, AFG
-5.6852727, 2020-2039, bcc_csm1_1_m, Jul Anomaly, Afghanistan, AFG
0.47721153, 2020-2039, bcc_csm1_1_m, Aug Anomaly, Afghanistan, AFG
0.89464223, 2020-2039, bcc_csm1_1_m, Sep Anomaly, Afghanistan, AFG
3.097716, 2020-2039, bcc_csm1_1_m, Oct Anomaly, Afghanistan, AFG
-5.723948, 2020-2039, bcc_csm1_1_m, Nov Anomaly, Afghanistan, AFG
3.711505, 2020-2039, bcc_csm1_1_m, Dec Anomaly, Afghanistan, AFG
9.82657, 2020-2039, ccsm4, Jan Anomaly, Afghanistan, AFG
-2.6914816, 2020-2039, ccsm4, Feb Anomaly, Afghanistan, AFG
-5.1749473, 2020-2039, ccsm4, Mar Anomaly, Afghanistan, AFG
-9.418402, 2020-2039, ccsm4, Apr Anomaly, Afghanistan, AFG
-3.0165942, 2020-2039, ccsm4, May Anomaly, Afghanistan, AFG
3.3626752, 2020-2039, ccsm4, Jun Anomaly, Afghanistan, AFG
8.979121, 2020-2039, ccsm4, Jul Anomaly, Afghanistan, AFG
-14.969187, 2020-2039, ccsm4, Aug Anomaly, Afghanistan, AFG
10.388453, 2020-2039, ccsm4, Sep Anomaly, Afghanistan, AFG
0.54997563, 2020-2039, ccsm4, Oct Anomaly, Afghanistan, AFG
8.061036, 2020-2039, ccsm4, Nov Anomaly, Afghanistan, AFG
12.256311, 2020-2039, ccsm4, Dec Anomaly, Afghanistan, AFG
-3.8402655, 2020-2039, cesm1_cam5, Jan Anomaly, Afghanistan, AFG
3.0047953, 2020-2039, cesm1_cam5, Feb Anomaly, Afghanistan, AFG
13.717592, 2020-2039, cesm1_cam5, Mar Anomaly, Afghanistan, AFG
20.292135, 2020-2039, cesm1_cam5, Apr Anomaly, Afghanistan, AFG
8.341982, 2020-2039, cesm1_cam5, May Anomaly, Afghanistan, AFG
-2.3231587, 2020-2039, cesm1_cam5, Jun Anomaly, Afghanistan, AFG
-3.3447928, 2020-2039, cesm1_cam5, Jul Anomaly, Afghanistan, AFG
1.2803545, 2020-2039, cesm1_cam5, Aug Anomaly, Afghanistan, AFG
