Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.8455, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AFG
-0.5332, 2060-2079, bcc_csm1_1, Annual Anomaly, AFG
-0.4686, 2060-2079, bnu_esm, Annual Anomaly, AFG
-0.4755, 2060-2079, canesm2, Annual Anomaly, AFG
0.02609, 2060-2079, ccsm4, Annual Anomaly, AFG
-0.0963, 2060-2079, cesm1_cam5, Annual Anomaly, AFG
-0.3603, 2060-2079, cnrm_cm5, Annual Anomaly, AFG
-0.8468, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AFG
-1.2087, 2060-2079, gfdl_cm3, Annual Anomaly, AFG
-1.1093, 2060-2079, gfdl_esm2g, Annual Anomaly, AFG
-0.2738, 2060-2079, gfdl_esm2m, Annual Anomaly, AFG
-1.4329, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AFG
-0.9144, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AFG
-1.1759, 2060-2079, miroc5, Annual Anomaly, AFG
-0.655, 2060-2079, miroc_esm_chem, Annual Anomaly, AFG
-0.7273, 2060-2079, miroc_esm, Annual Anomaly, AFG
-0.3059, 2060-2079, mpi_esm_mr, Annual Anomaly, AFG
-0.3989, 2060-2079, mri_cgcm3, Annual Anomaly, AFG
-0.8771, 2060-2079, noresm1_m, Annual Anomaly, AFG
-0.5021, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ALB
-0.0696, 2060-2079, bcc_csm1_1, Annual Anomaly, ALB
-0.4966, 2060-2079, bnu_esm, Annual Anomaly, ALB
-0.1412, 2060-2079, canesm2, Annual Anomaly, ALB
-0.9161, 2060-2079, ccsm4, Annual Anomaly, ALB
0.18673, 2060-2079, cesm1_cam5, Annual Anomaly, ALB
-0.3264, 2060-2079, cnrm_cm5, Annual Anomaly, ALB
-1.0344, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ALB
-1.3842, 2060-2079, gfdl_cm3, Annual Anomaly, ALB
0.02519, 2060-2079, gfdl_esm2g, Annual Anomaly, ALB
-0.7026, 2060-2079, gfdl_esm2m, Annual Anomaly, ALB
-0.055, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ALB
-0.3907, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ALB
-0.5141, 2060-2079, miroc5, Annual Anomaly, ALB
-2.0597, 2060-2079, miroc_esm_chem, Annual Anomaly, ALB
-1.2531, 2060-2079, miroc_esm, Annual Anomaly, ALB
