Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.004, 2060-2079, mpi_esm_mr, Annual Anomaly, ALB
0.06696, 2060-2079, mri_cgcm3, Annual Anomaly, ALB
-0.4581, 2060-2079, noresm1_m, Annual Anomaly, ALB
-0.6309, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AND
0.0581, 2060-2079, bcc_csm1_1, Annual Anomaly, AND
-0.177, 2060-2079, bnu_esm, Annual Anomaly, AND
-0.4861, 2060-2079, canesm2, Annual Anomaly, AND
-0.838, 2060-2079, ccsm4, Annual Anomaly, AND
0.01157, 2060-2079, cesm1_cam5, Annual Anomaly, AND
0.34596, 2060-2079, cnrm_cm5, Annual Anomaly, AND
-1.0773, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AND
-1.8769, 2060-2079, gfdl_cm3, Annual Anomaly, AND
-0.4599, 2060-2079, gfdl_esm2g, Annual Anomaly, AND
-0.8256, 2060-2079, gfdl_esm2m, Annual Anomaly, AND
-0.2154, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AND
-0.1642, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AND
-0.3351, 2060-2079, miroc5, Annual Anomaly, AND
-1.3532, 2060-2079, miroc_esm_chem, Annual Anomaly, AND
-1.7954, 2060-2079, miroc_esm, Annual Anomaly, AND
-0.7626, 2060-2079, mpi_esm_mr, Annual Anomaly, AND
-0.0429, 2060-2079, mri_cgcm3, Annual Anomaly, AND
-0.2643, 2060-2079, noresm1_m, Annual Anomaly, AND
-0.2173, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ATG
-0.4833, 2060-2079, bcc_csm1_1, Annual Anomaly, ATG
-0.2788, 2060-2079, bnu_esm, Annual Anomaly, ATG
0.30948, 2060-2079, canesm2, Annual Anomaly, ATG
-0.2532, 2060-2079, ccsm4, Annual Anomaly, ATG
-0.1785, 2060-2079, cesm1_cam5, Annual Anomaly, ATG
-0.3757, 2060-2079, cnrm_cm5, Annual Anomaly, ATG
0.49649, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ATG
0.24236, 2060-2079, gfdl_cm3, Annual Anomaly, ATG
-0.0954, 2060-2079, gfdl_esm2g, Annual Anomaly, ATG
-0.2787, 2060-2079, gfdl_esm2m, Annual Anomaly, ATG
-0.1333, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ATG
-0.6672, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ATG
-0.6784, 2060-2079, miroc5, Annual Anomaly, ATG
0.23307, 2060-2079, miroc_esm_chem, Annual Anomaly, ATG
0.80579, 2060-2079, miroc_esm, Annual Anomaly, ATG
-0.7454, 2060-2079, mpi_esm_mr, Annual Anomaly, ATG
0.70535, 2060-2079, mri_cgcm3, Annual Anomaly, ATG
0.16088, 2060-2079, noresm1_m, Annual Anomaly, ATG
-0.244, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ARG
-0.2838, 2060-2079, bcc_csm1_1, Annual Anomaly, ARG
-0.2316, 2060-2079, bnu_esm, Annual Anomaly, ARG
-0.7526, 2060-2079, canesm2, Annual Anomaly, ARG
-0.077, 2060-2079, ccsm4, Annual Anomaly, ARG
0.10936, 2060-2079, cesm1_cam5, Annual Anomaly, ARG
-0.1647, 2060-2079, cnrm_cm5, Annual Anomaly, ARG
-0.1888, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ARG
-0.776, 2060-2079, gfdl_cm3, Annual Anomaly, ARG
-0.446, 2060-2079, gfdl_esm2g, Annual Anomaly, ARG
-0.3717, 2060-2079, gfdl_esm2m, Annual Anomaly, ARG
-0.8886, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ARG
-0.6219, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ARG
-0.399, 2060-2079, miroc5, Annual Anomaly, ARG
-0.6738, 2060-2079, miroc_esm_chem, Annual Anomaly, ARG
-1.0156, 2060-2079, miroc_esm, Annual Anomaly, ARG
-0.1489, 2060-2079, mpi_esm_mr, Annual Anomaly, ARG
-0.1676, 2060-2079, mri_cgcm3, Annual Anomaly, ARG
-0.4415, 2060-2079, noresm1_m, Annual Anomaly, ARG
-0.3435, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ARM
-0.855, 2060-2079, bcc_csm1_1, Annual Anomaly, ARM
-0.6098, 2060-2079, bnu_esm, Annual Anomaly, ARM
-0.7239, 2060-2079, canesm2, Annual Anomaly, ARM
-0.2074, 2060-2079, ccsm4, Annual Anomaly, ARM
0.06528, 2060-2079, cesm1_cam5, Annual Anomaly, ARM
0.13113, 2060-2079, cnrm_cm5, Annual Anomaly, ARM
-1.0275, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ARM
-0.5908, 2060-2079, gfdl_cm3, Annual Anomaly, ARM
-0.4336, 2060-2079, gfdl_esm2g, Annual Anomaly, ARM
0.05535, 2060-2079, gfdl_esm2m, Annual Anomaly, ARM
-0.3612, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ARM
-1.245, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ARM
-0.7903, 2060-2079, miroc5, Annual Anomaly, ARM
-1.6575, 2060-2079, miroc_esm_chem, Annual Anomaly, ARM
-0.0623, 2060-2079, miroc_esm, Annual Anomaly, ARM
-0.5401, 2060-2079, mpi_esm_mr, Annual Anomaly, ARM
-0.1864, 2060-2079, mri_cgcm3, Annual Anomaly, ARM
-0.0431, 2060-2079, noresm1_m, Annual Anomaly, ARM
-0.1842, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AUS
-0.2397, 2060-2079, bcc_csm1_1, Annual Anomaly, AUS
-0.0344, 2060-2079, bnu_esm, Annual Anomaly, AUS
-0.6583, 2060-2079, canesm2, Annual Anomaly, AUS
-0.2171, 2060-2079, ccsm4, Annual Anomaly, AUS
-0.2663, 2060-2079, cesm1_cam5, Annual Anomaly, AUS
-0.5222, 2060-2079, cnrm_cm5, Annual Anomaly, AUS
-1.0635, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AUS
-0.9069, 2060-2079, gfdl_cm3, Annual Anomaly, AUS
-0.2884, 2060-2079, gfdl_esm2g, Annual Anomaly, AUS
-0.5662, 2060-2079, gfdl_esm2m, Annual Anomaly, AUS
-1.261, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AUS
-1.4801, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AUS
-0.2388, 2060-2079, miroc5, Annual Anomaly, AUS
-0.1541, 2060-2079, miroc_esm_chem, Annual Anomaly, AUS
-0.2632, 2060-2079, miroc_esm, Annual Anomaly, AUS
-0.793, 2060-2079, mpi_esm_mr, Annual Anomaly, AUS
-0.3907, 2060-2079, mri_cgcm3, Annual Anomaly, AUS
-0.1927, 2060-2079, noresm1_m, Annual Anomaly, AUS
-0.2933, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AZE
-0.6249, 2060-2079, bcc_csm1_1, Annual Anomaly, AZE
-0.4813, 2060-2079, bnu_esm, Annual Anomaly, AZE
-1.2542, 2060-2079, canesm2, Annual Anomaly, AZE
-0.1174, 2060-2079, ccsm4, Annual Anomaly, AZE
0.06593, 2060-2079, cesm1_cam5, Annual Anomaly, AZE
0.05792, 2060-2079, cnrm_cm5, Annual Anomaly, AZE
-0.7534, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AZE
-0.7051, 2060-2079, gfdl_cm3, Annual Anomaly, AZE
-0.3404, 2060-2079, gfdl_esm2g, Annual Anomaly, AZE
0.37853, 2060-2079, gfdl_esm2m, Annual Anomaly, AZE
-0.5367, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AZE
-1.1311, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AZE
-0.7191, 2060-2079, miroc5, Annual Anomaly, AZE
0.22405, 2060-2079, miroc_esm_chem, Annual Anomaly, AZE
0.98404, 2060-2079, miroc_esm, Annual Anomaly, AZE
-0.5779, 2060-2079, mpi_esm_mr, Annual Anomaly, AZE
-0.4233, 2060-2079, mri_cgcm3, Annual Anomaly, AZE
-0.0297, 2060-2079, noresm1_m, Annual Anomaly, AZE
-0.7433, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BHR
-0.7905, 2060-2079, bcc_csm1_1, Annual Anomaly, BHR
1.14223, 2060-2079, bnu_esm, Annual Anomaly, BHR
-0.9174, 2060-2079, canesm2, Annual Anomaly, BHR
-0.2844, 2060-2079, ccsm4, Annual Anomaly, BHR
-0.5295, 2060-2079, cesm1_cam5, Annual Anomaly, BHR
-0.2883, 2060-2079, cnrm_cm5, Annual Anomaly, BHR
-1.4074, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BHR
-1.0726, 2060-2079, gfdl_cm3, Annual Anomaly, BHR
-0.2657, 2060-2079, gfdl_esm2g, Annual Anomaly, BHR
-0.4883, 2060-2079, gfdl_esm2m, Annual Anomaly, BHR
-1.9219, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BHR
-1.8946, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BHR
-0.9335, 2060-2079, miroc5, Annual Anomaly, BHR
-0.2259, 2060-2079, miroc_esm_chem, Annual Anomaly, BHR
0.00482, 2060-2079, miroc_esm, Annual Anomaly, BHR
-1.22, 2060-2079, mpi_esm_mr, Annual Anomaly, BHR
-0.3199, 2060-2079, mri_cgcm3, Annual Anomaly, BHR
-0.2727, 2060-2079, noresm1_m, Annual Anomaly, BHR
-0.0799, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BRB
-0.5337, 2060-2079, bcc_csm1_1, Annual Anomaly, BRB
-0.8704, 2060-2079, bnu_esm, Annual Anomaly, BRB
-0.7278, 2060-2079, canesm2, Annual Anomaly, BRB
-0.2315, 2060-2079, ccsm4, Annual Anomaly, BRB
-0.705, 2060-2079, cesm1_cam5, Annual Anomaly, BRB
-0.4663, 2060-2079, cnrm_cm5, Annual Anomaly, BRB
0.35449, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BRB
0.04761, 2060-2079, gfdl_cm3, Annual Anomaly, BRB
0.2379, 2060-2079, gfdl_esm2g, Annual Anomaly, BRB
-0.0367, 2060-2079, gfdl_esm2m, Annual Anomaly, BRB
-0.641, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BRB
-0.814, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BRB
-1.1093, 2060-2079, miroc5, Annual Anomaly, BRB
-0.377, 2060-2079, miroc_esm_chem, Annual Anomaly, BRB
0.12789, 2060-2079, miroc_esm, Annual Anomaly, BRB
-0.7213, 2060-2079, mpi_esm_mr, Annual Anomaly, BRB
0.39813, 2060-2079, mri_cgcm3, Annual Anomaly, BRB
0.09854, 2060-2079, noresm1_m, Annual Anomaly, BRB
0.47641, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BLR
-0.3337, 2060-2079, bcc_csm1_1, Annual Anomaly, BLR
-0.0934, 2060-2079, bnu_esm, Annual Anomaly, BLR
0.73894, 2060-2079, canesm2, Annual Anomaly, BLR
-0.316, 2060-2079, ccsm4, Annual Anomaly, BLR
0.41797, 2060-2079, cesm1_cam5, Annual Anomaly, BLR
0.33656, 2060-2079, cnrm_cm5, Annual Anomaly, BLR
-0.0798, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BLR
0.01231, 2060-2079, gfdl_cm3, Annual Anomaly, BLR
0.15354, 2060-2079, gfdl_esm2g, Annual Anomaly, BLR
0.50783, 2060-2079, gfdl_esm2m, Annual Anomaly, BLR
-0.1256, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BLR
-0.0635, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BLR
-1.6286, 2060-2079, miroc5, Annual Anomaly, BLR
0.03309, 2060-2079, miroc_esm_chem, Annual Anomaly, BLR
0.55425, 2060-2079, miroc_esm, Annual Anomaly, BLR
-0.1435, 2060-2079, mpi_esm_mr, Annual Anomaly, BLR
-0.0572, 2060-2079, mri_cgcm3, Annual Anomaly, BLR
0.30934, 2060-2079, noresm1_m, Annual Anomaly, BLR
0.05146, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BEL
-0.3699, 2060-2079, bcc_csm1_1, Annual Anomaly, BEL
0.12628, 2060-2079, bnu_esm, Annual Anomaly, BEL
-0.0562, 2060-2079, canesm2, Annual Anomaly, BEL
-0.6027, 2060-2079, ccsm4, Annual Anomaly, BEL
0.34738, 2060-2079, cesm1_cam5, Annual Anomaly, BEL
-0.1235, 2060-2079, cnrm_cm5, Annual Anomaly, BEL
-0.251, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BEL
-0.8531, 2060-2079, gfdl_cm3, Annual Anomaly, BEL
-0.4299, 2060-2079, gfdl_esm2g, Annual Anomaly, BEL
0.56461, 2060-2079, gfdl_esm2m, Annual Anomaly, BEL
-0.0556, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BEL
-0.3731, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BEL
-0.9526, 2060-2079, miroc5, Annual Anomaly, BEL
0.66417, 2060-2079, miroc_esm_chem, Annual Anomaly, BEL
0.66584, 2060-2079, miroc_esm, Annual Anomaly, BEL
-0.3897, 2060-2079, mpi_esm_mr, Annual Anomaly, BEL
-0.304, 2060-2079, mri_cgcm3, Annual Anomaly, BEL
-0.0048, 2060-2079, noresm1_m, Annual Anomaly, BEL
-0.5461, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BLZ
0.04836, 2060-2079, bcc_csm1_1, Annual Anomaly, BLZ
-0.5421, 2060-2079, bnu_esm, Annual Anomaly, BLZ
-0.4919, 2060-2079, canesm2, Annual Anomaly, BLZ
-0.3162, 2060-2079, ccsm4, Annual Anomaly, BLZ
-0.6172, 2060-2079, cesm1_cam5, Annual Anomaly, BLZ
0.25413, 2060-2079, cnrm_cm5, Annual Anomaly, BLZ
0.29597, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BLZ
0.70309, 2060-2079, gfdl_cm3, Annual Anomaly, BLZ
0.32264, 2060-2079, gfdl_esm2g, Annual Anomaly, BLZ
-0.1286, 2060-2079, gfdl_esm2m, Annual Anomaly, BLZ
-0.3617, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BLZ
-2.3084, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BLZ
-1.0644, 2060-2079, miroc5, Annual Anomaly, BLZ
-0.5136, 2060-2079, miroc_esm_chem, Annual Anomaly, BLZ
-0.2761, 2060-2079, miroc_esm, Annual Anomaly, BLZ
-0.2819, 2060-2079, mpi_esm_mr, Annual Anomaly, BLZ
0.1574, 2060-2079, mri_cgcm3, Annual Anomaly, BLZ
-0.2035, 2060-2079, noresm1_m, Annual Anomaly, BLZ
-0.2989, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BTN
0.58496, 2060-2079, bcc_csm1_1, Annual Anomaly, BTN
0.28556, 2060-2079, bnu_esm, Annual Anomaly, BTN
0.51999, 2060-2079, canesm2, Annual Anomaly, BTN
0.1766, 2060-2079, ccsm4, Annual Anomaly, BTN
0.69853, 2060-2079, cesm1_cam5, Annual Anomaly, BTN
0.34806, 2060-2079, cnrm_cm5, Annual Anomaly, BTN
-0.6297, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BTN
1.25171, 2060-2079, gfdl_cm3, Annual Anomaly, BTN
0.34041, 2060-2079, gfdl_esm2g, Annual Anomaly, BTN
-0.3526, 2060-2079, gfdl_esm2m, Annual Anomaly, BTN
-0.595, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BTN
-0.6602, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BTN
0.52385, 2060-2079, miroc5, Annual Anomaly, BTN
-0.6415, 2060-2079, miroc_esm_chem, Annual Anomaly, BTN
0.51517, 2060-2079, miroc_esm, Annual Anomaly, BTN
-0.8148, 2060-2079, mpi_esm_mr, Annual Anomaly, BTN
0.35739, 2060-2079, mri_cgcm3, Annual Anomaly, BTN
0.03112, 2060-2079, noresm1_m, Annual Anomaly, BTN
-0.327, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BOL
-0.2412, 2060-2079, bcc_csm1_1, Annual Anomaly, BOL
-0.5138, 2060-2079, bnu_esm, Annual Anomaly, BOL
-1.6035, 2060-2079, canesm2, Annual Anomaly, BOL
-0.2976, 2060-2079, ccsm4, Annual Anomaly, BOL
-0.2589, 2060-2079, cesm1_cam5, Annual Anomaly, BOL
-0.068, 2060-2079, cnrm_cm5, Annual Anomaly, BOL
-0.7133, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BOL
-1.388, 2060-2079, gfdl_cm3, Annual Anomaly, BOL
-0.3813, 2060-2079, gfdl_esm2g, Annual Anomaly, BOL
-0.227, 2060-2079, gfdl_esm2m, Annual Anomaly, BOL
-0.9535, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BOL
-1.0225, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BOL
-0.3677, 2060-2079, miroc5, Annual Anomaly, BOL
-1.4178, 2060-2079, miroc_esm_chem, Annual Anomaly, BOL
-1.0449, 2060-2079, miroc_esm, Annual Anomaly, BOL
-0.1965, 2060-2079, mpi_esm_mr, Annual Anomaly, BOL
-0.3289, 2060-2079, mri_cgcm3, Annual Anomaly, BOL
-0.4087, 2060-2079, noresm1_m, Annual Anomaly, BOL
-1.1774, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BWA
-0.27, 2060-2079, bcc_csm1_1, Annual Anomaly, BWA
-0.3076, 2060-2079, bnu_esm, Annual Anomaly, BWA
-0.6715, 2060-2079, canesm2, Annual Anomaly, BWA
-0.2325, 2060-2079, ccsm4, Annual Anomaly, BWA
-0.9566, 2060-2079, cesm1_cam5, Annual Anomaly, BWA
0.21246, 2060-2079, cnrm_cm5, Annual Anomaly, BWA
-1.2183, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BWA
-0.6858, 2060-2079, gfdl_cm3, Annual Anomaly, BWA
-0.1028, 2060-2079, gfdl_esm2g, Annual Anomaly, BWA
-0.2428, 2060-2079, gfdl_esm2m, Annual Anomaly, BWA
-0.0224, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BWA
-0.9307, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BWA
-0.4797, 2060-2079, miroc5, Annual Anomaly, BWA
-0.5416, 2060-2079, miroc_esm_chem, Annual Anomaly, BWA
-1.1079, 2060-2079, miroc_esm, Annual Anomaly, BWA
-0.386, 2060-2079, mpi_esm_mr, Annual Anomaly, BWA
-0.9541, 2060-2079, mri_cgcm3, Annual Anomaly, BWA
-0.25, 2060-2079, noresm1_m, Annual Anomaly, BWA
0.06547, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BRN
-0.0035, 2060-2079, bcc_csm1_1, Annual Anomaly, BRN
0.29475, 2060-2079, bnu_esm, Annual Anomaly, BRN
-0.1712, 2060-2079, canesm2, Annual Anomaly, BRN
0.53846, 2060-2079, ccsm4, Annual Anomaly, BRN
-0.0607, 2060-2079, cesm1_cam5, Annual Anomaly, BRN
-0.0052, 2060-2079, cnrm_cm5, Annual Anomaly, BRN
-0.2732, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BRN
0.19368, 2060-2079, gfdl_cm3, Annual Anomaly, BRN
-0.0894, 2060-2079, gfdl_esm2g, Annual Anomaly, BRN
-0.0239, 2060-2079, gfdl_esm2m, Annual Anomaly, BRN
1.10306, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BRN
0.25907, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BRN
1.28314, 2060-2079, miroc5, Annual Anomaly, BRN
-0.3644, 2060-2079, miroc_esm_chem, Annual Anomaly, BRN
-0.082, 2060-2079, miroc_esm, Annual Anomaly, BRN
0.17695, 2060-2079, mpi_esm_mr, Annual Anomaly, BRN
0.05265, 2060-2079, mri_cgcm3, Annual Anomaly, BRN
-0.0604, 2060-2079, noresm1_m, Annual Anomaly, BRN
-0.568, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BFA
-0.9089, 2060-2079, bcc_csm1_1, Annual Anomaly, BFA
0.95813, 2060-2079, bnu_esm, Annual Anomaly, BFA
-0.5763, 2060-2079, canesm2, Annual Anomaly, BFA
-0.1376, 2060-2079, ccsm4, Annual Anomaly, BFA
-0.8561, 2060-2079, cesm1_cam5, Annual Anomaly, BFA
-0.2915, 2060-2079, cnrm_cm5, Annual Anomaly, BFA
-0.3613, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BFA
-0.2548, 2060-2079, gfdl_cm3, Annual Anomaly, BFA
0.21472, 2060-2079, gfdl_esm2g, Annual Anomaly, BFA
0.23708, 2060-2079, gfdl_esm2m, Annual Anomaly, BFA
0.13537, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BFA
-1.5268, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BFA
-0.0836, 2060-2079, miroc5, Annual Anomaly, BFA
0.94637, 2060-2079, miroc_esm_chem, Annual Anomaly, BFA
1.35598, 2060-2079, miroc_esm, Annual Anomaly, BFA
-0.7816, 2060-2079, mpi_esm_mr, Annual Anomaly, BFA
-0.732, 2060-2079, mri_cgcm3, Annual Anomaly, BFA
0.154, 2060-2079, noresm1_m, Annual Anomaly, BFA
-0.106, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BDI
-0.2547, 2060-2079, bcc_csm1_1, Annual Anomaly, BDI
0.25623, 2060-2079, bnu_esm, Annual Anomaly, BDI
-0.3953, 2060-2079, canesm2, Annual Anomaly, BDI
-0.3012, 2060-2079, ccsm4, Annual Anomaly, BDI
0.35139, 2060-2079, cesm1_cam5, Annual Anomaly, BDI
0.68264, 2060-2079, cnrm_cm5, Annual Anomaly, BDI
-1.5948, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BDI
-0.3093, 2060-2079, gfdl_cm3, Annual Anomaly, BDI
0.31462, 2060-2079, gfdl_esm2g, Annual Anomaly, BDI
0.2291, 2060-2079, gfdl_esm2m, Annual Anomaly, BDI
0.74767, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BDI
0.23331, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BDI
-0.2685, 2060-2079, miroc5, Annual Anomaly, BDI
-0.5082, 2060-2079, miroc_esm_chem, Annual Anomaly, BDI
-0.581, 2060-2079, miroc_esm, Annual Anomaly, BDI
-1.239, 2060-2079, mpi_esm_mr, Annual Anomaly, BDI
-0.461, 2060-2079, mri_cgcm3, Annual Anomaly, BDI
0.43374, 2060-2079, noresm1_m, Annual Anomaly, BDI
-0.2414, 2060-2079, bcc_csm1_1_m, Annual Anomaly, CMR
-0.0077, 2060-2079, bcc_csm1_1, Annual Anomaly, CMR
-0.0793, 2060-2079, bnu_esm, Annual Anomaly, CMR
-0.1589, 2060-2079, canesm2, Annual Anomaly, CMR
0.18052, 2060-2079, ccsm4, Annual Anomaly, CMR
0.53655, 2060-2079, cesm1_cam5, Annual Anomaly, CMR
0.14918, 2060-2079, cnrm_cm5, Annual Anomaly, CMR
-0.3222, 2060-2079, csiro_mk3_6_0, Annual Anomaly, CMR
0.14024, 2060-2079, gfdl_cm3, Annual Anomaly, CMR
0.252, 2060-2079, gfdl_esm2g, Annual Anomaly, CMR
-0.1357, 2060-2079, gfdl_esm2m, Annual Anomaly, CMR
0.41263, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, CMR
-0.1516, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, CMR
0.41842, 2060-2079, miroc5, Annual Anomaly, CMR
-0.0717, 2060-2079, miroc_esm_chem, Annual Anomaly, CMR
-0.1229, 2060-2079, miroc_esm, Annual Anomaly, CMR
-0.0938, 2060-2079, mpi_esm_mr, Annual Anomaly, CMR
0.33253, 2060-2079, mri_cgcm3, Annual Anomaly, CMR
0.2637, 2060-2079, noresm1_m, Annual Anomaly, CMR
0.11851, 2060-2079, bcc_csm1_1_m, Annual Anomaly, CAN
0.25544, 2060-2079, bcc_csm1_1, Annual Anomaly, CAN
0.08184, 2060-2079, bnu_esm, Annual Anomaly, CAN
0.29027, 2060-2079, canesm2, Annual Anomaly, CAN
-0.0087, 2060-2079, ccsm4, Annual Anomaly, CAN
0.10558, 2060-2079, cesm1_cam5, Annual Anomaly, CAN
0.33439, 2060-2079, cnrm_cm5, Annual Anomaly, CAN
0.40994, 2060-2079, csiro_mk3_6_0, Annual Anomaly, CAN
0.45227, 2060-2079, gfdl_cm3, Annual Anomaly, CAN
0.06004, 2060-2079, gfdl_esm2g, Annual Anomaly, CAN
0.09225, 2060-2079, gfdl_esm2m, Annual Anomaly, CAN
0.10125, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, CAN
-0.0032, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, CAN
0.10045, 2060-2079, miroc5, Annual Anomaly, CAN
0.44817, 2060-2079, miroc_esm_chem, Annual Anomaly, CAN
0.23957, 2060-2079, miroc_esm, Annual Anomaly, CAN
0.03367, 2060-2079, mpi_esm_mr, Annual Anomaly, CAN
0.4013, 2060-2079, mri_cgcm3, Annual Anomaly, CAN
-0.1037, 2060-2079, noresm1_m, Annual Anomaly, CAN
-0.5181, 2060-2079, bcc_csm1_1_m, Annual Anomaly, CPV
0.05166, 2060-2079, bcc_csm1_1, Annual Anomaly, CPV
