Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-5.3289156, 2080-2099, bcc_csm1_1, Jan Anomaly, Afghanistan, AFG
1.7261442, 2080-2099, bcc_csm1_1, Feb Anomaly, Afghanistan, AFG
8.091413, 2080-2099, bcc_csm1_1, Mar Anomaly, Afghanistan, AFG
-4.8644557, 2080-2099, bcc_csm1_1, Apr Anomaly, Afghanistan, AFG
-5.8603883, 2080-2099, bcc_csm1_1, May Anomaly, Afghanistan, AFG
0.87805593, 2080-2099, bcc_csm1_1, Jun Anomaly, Afghanistan, AFG
-1.6193243, 2080-2099, bcc_csm1_1, Jul Anomaly, Afghanistan, AFG
1.2084203, 2080-2099, bcc_csm1_1, Aug Anomaly, Afghanistan, AFG
-0.041682765, 2080-2099, bcc_csm1_1, Sep Anomaly, Afghanistan, AFG
-4.085284, 2080-2099, bcc_csm1_1, Oct Anomaly, Afghanistan, AFG
-1.4085678, 2080-2099, bcc_csm1_1, Nov Anomaly, Afghanistan, AFG
3.0349689, 2080-2099, bcc_csm1_1, Dec Anomaly, Afghanistan, AFG
8.406797, 2080-2099, bcc_csm1_1_m, Jan Anomaly, Afghanistan, AFG
-5.2265773, 2080-2099, bcc_csm1_1_m, Feb Anomaly, Afghanistan, AFG
-3.451104, 2080-2099, bcc_csm1_1_m, Mar Anomaly, Afghanistan, AFG
-11.553214, 2080-2099, bcc_csm1_1_m, Apr Anomaly, Afghanistan, AFG
-3.7027335, 2080-2099, bcc_csm1_1_m, May Anomaly, Afghanistan, AFG
0.014872351, 2080-2099, bcc_csm1_1_m, Jun Anomaly, Afghanistan, AFG
0.73583806, 2080-2099, bcc_csm1_1_m, Jul Anomaly, Afghanistan, AFG
11.146848, 2080-2099, bcc_csm1_1_m, Aug Anomaly, Afghanistan, AFG
-3.6571794, 2080-2099, bcc_csm1_1_m, Sep Anomaly, Afghanistan, AFG
5.3803773, 2080-2099, bcc_csm1_1_m, Oct Anomaly, Afghanistan, AFG
-2.3749247, 2080-2099, bcc_csm1_1_m, Nov Anomaly, Afghanistan, AFG
-3.5980797, 2080-2099, bcc_csm1_1_m, Dec Anomaly, Afghanistan, AFG
8.6124525, 2080-2099, ccsm4, Jan Anomaly, Afghanistan, AFG
-2.4062374, 2080-2099, ccsm4, Feb Anomaly, Afghanistan, AFG
-12.768413, 2080-2099, ccsm4, Mar Anomaly, Afghanistan, AFG
3.7381566, 2080-2099, ccsm4, Apr Anomaly, Afghanistan, AFG
-5.7736135, 2080-2099, ccsm4, May Anomaly, Afghanistan, AFG
1.4361956, 2080-2099, ccsm4, Jun Anomaly, Afghanistan, AFG
0.7007113, 2080-2099, ccsm4, Jul Anomaly, Afghanistan, AFG
-15.723005, 2080-2099, ccsm4, Aug Anomaly, Afghanistan, AFG
6.951875, 2080-2099, ccsm4, Sep Anomaly, Afghanistan, AFG
-0.39619112, 2080-2099, ccsm4, Oct Anomaly, Afghanistan, AFG
4.0155225, 2080-2099, ccsm4, Nov Anomaly, Afghanistan, AFG
11.629809, 2080-2099, ccsm4, Dec Anomaly, Afghanistan, AFG
5.5242715, 2080-2099, cesm1_cam5, Jan Anomaly, Afghanistan, AFG
8.5777235, 2080-2099, cesm1_cam5, Feb Anomaly, Afghanistan, AFG
11.524694, 2080-2099, cesm1_cam5, Mar Anomaly, Afghanistan, AFG
16.093575, 2080-2099, cesm1_cam5, Apr Anomaly, Afghanistan, AFG
6.35054, 2080-2099, cesm1_cam5, May Anomaly, Afghanistan, AFG
1.4892571, 2080-2099, cesm1_cam5, Jun Anomaly, Afghanistan, AFG
1.7254025, 2080-2099, cesm1_cam5, Jul Anomaly, Afghanistan, AFG
2.3890495, 2080-2099, cesm1_cam5, Aug Anomaly, Afghanistan, AFG
1.7124681, 2080-2099, cesm1_cam5, Sep Anomaly, Afghanistan, AFG
-1.37767, 2080-2099, cesm1_cam5, Oct Anomaly, Afghanistan, AFG
-4.400142, 2080-2099, cesm1_cam5, Nov Anomaly, Afghanistan, AFG
5.4038615, 2080-2099, cesm1_cam5, Dec Anomaly, Afghanistan, AFG
3.276597, 2080-2099, csiro_mk3_6_0, Jan Anomaly, Afghanistan, AFG
0.91088164, 2080-2099, csiro_mk3_6_0, Feb Anomaly, Afghanistan, AFG
-0.7306953, 2080-2099, csiro_mk3_6_0, Mar Anomaly, Afghanistan, AFG
2.8559537, 2080-2099, csiro_mk3_6_0, Apr Anomaly, Afghanistan, AFG
1.0504543, 2080-2099, csiro_mk3_6_0, May Anomaly, Afghanistan, AFG
1.2971545, 2080-2099, csiro_mk3_6_0, Jun Anomaly, Afghanistan, AFG
0.7098005, 2080-2099, csiro_mk3_6_0, Jul Anomaly, Afghanistan, AFG
-0.23988855, 2080-2099, csiro_mk3_6_0, Aug Anomaly, Afghanistan, AFG
0.85037255, 2080-2099, csiro_mk3_6_0, Sep Anomaly, Afghanistan, AFG
2.0845964, 2080-2099, csiro_mk3_6_0, Oct Anomaly, Afghanistan, AFG
6.1837316, 2080-2099, csiro_mk3_6_0, Nov Anomaly, Afghanistan, AFG
-0.6354866, 2080-2099, csiro_mk3_6_0, Dec Anomaly, Afghanistan, AFG
-8.745875, 2080-2099, fio_esm, Jan Anomaly, Afghanistan, AFG
-6.4395785, 2080-2099, fio_esm, Feb Anomaly, Afghanistan, AFG
-7.0828605, 2080-2099, fio_esm, Mar Anomaly, Afghanistan, AFG
-15.612084, 2080-2099, fio_esm, Apr Anomaly, Afghanistan, AFG
-9.021268, 2080-2099, fio_esm, May Anomaly, Afghanistan, AFG
-2.304991, 2080-2099, fio_esm, Jun Anomaly, Afghanistan, AFG
-0.14255857, 2080-2099, fio_esm, Jul Anomaly, Afghanistan, AFG
-7.4321938, 2080-2099, fio_esm, Aug Anomaly, Afghanistan, AFG
-1.9744915, 2080-2099, fio_esm, Sep Anomaly, Afghanistan, AFG
2.5190709, 2080-2099, fio_esm, Oct Anomaly, Afghanistan, AFG
-7.0037613, 2080-2099, fio_esm, Nov Anomaly, Afghanistan, AFG
-9.116355, 2080-2099, fio_esm, Dec Anomaly, Afghanistan, AFG
-6.6276503, 2080-2099, gfdl_cm3, Jan Anomaly, Afghanistan, AFG
-11.093206, 2080-2099, gfdl_cm3, Feb Anomaly, Afghanistan, AFG
-4.5602703, 2080-2099, gfdl_cm3, Mar Anomaly, Afghanistan, AFG
-1.7154582, 2080-2099, gfdl_cm3, Apr Anomaly, Afghanistan, AFG
5.741473, 2080-2099, gfdl_cm3, May Anomaly, Afghanistan, AFG
-1.5507002, 2080-2099, gfdl_cm3, Jun Anomaly, Afghanistan, AFG
0.8792033, 2080-2099, gfdl_cm3, Jul Anomaly, Afghanistan, AFG
0.6968704, 2080-2099, gfdl_cm3, Aug Anomaly, Afghanistan, AFG
-3.7832978, 2080-2099, gfdl_cm3, Sep Anomaly, Afghanistan, AFG
-8.840259, 2080-2099, gfdl_cm3, Oct Anomaly, Afghanistan, AFG
-19.718382, 2080-2099, gfdl_cm3, Nov Anomaly, Afghanistan, AFG
-0.47570682, 2080-2099, gfdl_cm3, Dec Anomaly, Afghanistan, AFG
3.7706814, 2080-2099, gfdl_esm2m, Jan Anomaly, Afghanistan, AFG
0.6100107, 2080-2099, gfdl_esm2m, Feb Anomaly, Afghanistan, AFG
0.9725101, 2080-2099, gfdl_esm2m, Mar Anomaly, Afghanistan, AFG
2.8924143, 2080-2099, gfdl_esm2m, Apr Anomaly, Afghanistan, AFG
-7.005797, 2080-2099, gfdl_esm2m, May Anomaly, Afghanistan, AFG
-1.488196, 2080-2099, gfdl_esm2m, Jun Anomaly, Afghanistan, AFG
-1.01338, 2080-2099, gfdl_esm2m, Jul Anomaly, Afghanistan, AFG
-1.4173272, 2080-2099, gfdl_esm2m, Aug Anomaly, Afghanistan, AFG
-6.0981636, 2080-2099, gfdl_esm2m, Sep Anomaly, Afghanistan, AFG
-1.7699232, 2080-2099, gfdl_esm2m, Oct Anomaly, Afghanistan, AFG
4.316624, 2080-2099, gfdl_esm2m, Nov Anomaly, Afghanistan, AFG
1.5184385, 2080-2099, gfdl_esm2m, Dec Anomaly, Afghanistan, AFG
-3.187204, 2080-2099, giss_e2_h, Jan Anomaly, Afghanistan, AFG
8.682527, 2080-2099, giss_e2_h, Feb Anomaly, Afghanistan, AFG
0.7289034, 2080-2099, giss_e2_h, Mar Anomaly, Afghanistan, AFG
2.1602147, 2080-2099, giss_e2_h, Apr Anomaly, Afghanistan, AFG
0.8388869, 2080-2099, giss_e2_h, May Anomaly, Afghanistan, AFG
-0.45903707, 2080-2099, giss_e2_h, Jun Anomaly, Afghanistan, AFG
-4.9785395, 2080-2099, giss_e2_h, Jul Anomaly, Afghanistan, AFG
