Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
9.771507, 2080-2099, bcc_csm1_1, Jan Anomaly, Albania, ALB
-1.6442757, 2080-2099, bcc_csm1_1, Feb Anomaly, Albania, ALB
2.7418098, 2080-2099, bcc_csm1_1, Mar Anomaly, Albania, ALB
-7.0183635, 2080-2099, bcc_csm1_1, Apr Anomaly, Albania, ALB
14.662291, 2080-2099, bcc_csm1_1, May Anomaly, Albania, ALB
-1.3077526, 2080-2099, bcc_csm1_1, Jun Anomaly, Albania, ALB
-6.6596284, 2080-2099, bcc_csm1_1, Jul Anomaly, Albania, ALB
-5.8092103, 2080-2099, bcc_csm1_1, Aug Anomaly, Albania, ALB
1.0836397, 2080-2099, bcc_csm1_1, Sep Anomaly, Albania, ALB
1.6782125, 2080-2099, bcc_csm1_1, Oct Anomaly, Albania, ALB
14.23039, 2080-2099, bcc_csm1_1, Nov Anomaly, Albania, ALB
12.486133, 2080-2099, bcc_csm1_1, Dec Anomaly, Albania, ALB
2.9366176, 2080-2099, bcc_csm1_1_m, Jan Anomaly, Albania, ALB
-7.020189, 2080-2099, bcc_csm1_1_m, Feb Anomaly, Albania, ALB
-8.6158285, 2080-2099, bcc_csm1_1_m, Mar Anomaly, Albania, ALB
4.898909, 2080-2099, bcc_csm1_1_m, Apr Anomaly, Albania, ALB
-4.290749, 2080-2099, bcc_csm1_1_m, May Anomaly, Albania, ALB
-10.469295, 2080-2099, bcc_csm1_1_m, Jun Anomaly, Albania, ALB
-0.6281934, 2080-2099, bcc_csm1_1_m, Jul Anomaly, Albania, ALB
-5.6398506, 2080-2099, bcc_csm1_1_m, Aug Anomaly, Albania, ALB
-7.715468, 2080-2099, bcc_csm1_1_m, Sep Anomaly, Albania, ALB
-9.967122, 2080-2099, bcc_csm1_1_m, Oct Anomaly, Albania, ALB
16.582033, 2080-2099, bcc_csm1_1_m, Nov Anomaly, Albania, ALB
-5.515742, 2080-2099, bcc_csm1_1_m, Dec Anomaly, Albania, ALB
26.302145, 2080-2099, ccsm4, Jan Anomaly, Albania, ALB
3.6445286, 2080-2099, ccsm4, Feb Anomaly, Albania, ALB
-6.4940414, 2080-2099, ccsm4, Mar Anomaly, Albania, ALB
-20.307913, 2080-2099, ccsm4, Apr Anomaly, Albania, ALB
-5.308203, 2080-2099, ccsm4, May Anomaly, Albania, ALB
-0.36077595, 2080-2099, ccsm4, Jun Anomaly, Albania, ALB
-0.019383589, 2080-2099, ccsm4, Jul Anomaly, Albania, ALB
-4.5034857, 2080-2099, ccsm4, Aug Anomaly, Albania, ALB
-0.5448704, 2080-2099, ccsm4, Sep Anomaly, Albania, ALB
-0.70651245, 2080-2099, ccsm4, Oct Anomaly, Albania, ALB
-18.428858, 2080-2099, ccsm4, Nov Anomaly, Albania, ALB
-13.147491, 2080-2099, ccsm4, Dec Anomaly, Albania, ALB
2.9251149, 2080-2099, cesm1_cam5, Jan Anomaly, Albania, ALB
7.9423256, 2080-2099, cesm1_cam5, Feb Anomaly, Albania, ALB
-0.5690028, 2080-2099, cesm1_cam5, Mar Anomaly, Albania, ALB
13.773498, 2080-2099, cesm1_cam5, Apr Anomaly, Albania, ALB
-1.4956818, 2080-2099, cesm1_cam5, May Anomaly, Albania, ALB
10.372747, 2080-2099, cesm1_cam5, Jun Anomaly, Albania, ALB
-3.9198868, 2080-2099, cesm1_cam5, Jul Anomaly, Albania, ALB
-4.6313033, 2080-2099, cesm1_cam5, Aug Anomaly, Albania, ALB
-18.680025, 2080-2099, cesm1_cam5, Sep Anomaly, Albania, ALB
-9.90359, 2080-2099, cesm1_cam5, Oct Anomaly, Albania, ALB
12.306854, 2080-2099, cesm1_cam5, Nov Anomaly, Albania, ALB
-0.9047267, 2080-2099, cesm1_cam5, Dec Anomaly, Albania, ALB
-15.327525, 2080-2099, csiro_mk3_6_0, Jan Anomaly, Albania, ALB
-8.736941, 2080-2099, csiro_mk3_6_0, Feb Anomaly, Albania, ALB
-0.52615356, 2080-2099, csiro_mk3_6_0, Mar Anomaly, Albania, ALB
-10.649516, 2080-2099, csiro_mk3_6_0, Apr Anomaly, Albania, ALB
-4.1068826, 2080-2099, csiro_mk3_6_0, May Anomaly, Albania, ALB
-4.8559303, 2080-2099, csiro_mk3_6_0, Jun Anomaly, Albania, ALB
-1.606442, 2080-2099, csiro_mk3_6_0, Jul Anomaly, Albania, ALB
-1.5040362, 2080-2099, csiro_mk3_6_0, Aug Anomaly, Albania, ALB
-14.146737, 2080-2099, csiro_mk3_6_0, Sep Anomaly, Albania, ALB
-49.125763, 2080-2099, csiro_mk3_6_0, Oct Anomaly, Albania, ALB
3.8520405, 2080-2099, csiro_mk3_6_0, Nov Anomaly, Albania, ALB
-10.717305, 2080-2099, csiro_mk3_6_0, Dec Anomaly, Albania, ALB
-23.009565, 2080-2099, fio_esm, Jan Anomaly, Albania, ALB
-18.389574, 2080-2099, fio_esm, Feb Anomaly, Albania, ALB
-21.31978, 2080-2099, fio_esm, Mar Anomaly, Albania, ALB
-22.522203, 2080-2099, fio_esm, Apr Anomaly, Albania, ALB
-23.40951, 2080-2099, fio_esm, May Anomaly, Albania, ALB
-15.060686, 2080-2099, fio_esm, Jun Anomaly, Albania, ALB
2.3499472, 2080-2099, fio_esm, Jul Anomaly, Albania, ALB
-3.948438, 2080-2099, fio_esm, Aug Anomaly, Albania, ALB
-13.346153, 2080-2099, fio_esm, Sep Anomaly, Albania, ALB
-18.656027, 2080-2099, fio_esm, Oct Anomaly, Albania, ALB
-0.020594278, 2080-2099, fio_esm, Nov Anomaly, Albania, ALB
-1.6953049, 2080-2099, fio_esm, Dec Anomaly, Albania, ALB
-16.804466, 2080-2099, gfdl_cm3, Jan Anomaly, Albania, ALB
