Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
6.738192, 2060-2079, bcc_csm1_1, Jan Anomaly, Albania, ALB
-12.061841, 2060-2079, bcc_csm1_1, Feb Anomaly, Albania, ALB
4.1937585, 2060-2079, bcc_csm1_1, Mar Anomaly, Albania, ALB
-7.1536827, 2060-2079, bcc_csm1_1, Apr Anomaly, Albania, ALB
-0.5749779, 2060-2079, bcc_csm1_1, May Anomaly, Albania, ALB
-1.7230581, 2060-2079, bcc_csm1_1, Jun Anomaly, Albania, ALB
-6.487982, 2060-2079, bcc_csm1_1, Jul Anomaly, Albania, ALB
-4.7048798, 2060-2079, bcc_csm1_1, Aug Anomaly, Albania, ALB
1.0199242, 2060-2079, bcc_csm1_1, Sep Anomaly, Albania, ALB
7.802958, 2060-2079, bcc_csm1_1, Oct Anomaly, Albania, ALB
28.003027, 2060-2079, bcc_csm1_1, Nov Anomaly, Albania, ALB
6.7750573, 2060-2079, bcc_csm1_1, Dec Anomaly, Albania, ALB
1.9165293, 2060-2079, bcc_csm1_1_m, Jan Anomaly, Albania, ALB
2.0264816, 2060-2079, bcc_csm1_1_m, Feb Anomaly, Albania, ALB
-12.664849, 2060-2079, bcc_csm1_1_m, Mar Anomaly, Albania, ALB
-1.8972536, 2060-2079, bcc_csm1_1_m, Apr Anomaly, Albania, ALB
-9.06969, 2060-2079, bcc_csm1_1_m, May Anomaly, Albania, ALB
-5.012906, 2060-2079, bcc_csm1_1_m, Jun Anomaly, Albania, ALB
-1.7823848, 2060-2079, bcc_csm1_1_m, Jul Anomaly, Albania, ALB
-5.985526, 2060-2079, bcc_csm1_1_m, Aug Anomaly, Albania, ALB
-0.95653534, 2060-2079, bcc_csm1_1_m, Sep Anomaly, Albania, ALB
-2.9978511, 2060-2079, bcc_csm1_1_m, Oct Anomaly, Albania, ALB
14.27464, 2060-2079, bcc_csm1_1_m, Nov Anomaly, Albania, ALB
-3.362315, 2060-2079, bcc_csm1_1_m, Dec Anomaly, Albania, ALB
8.861455, 2060-2079, ccsm4, Jan Anomaly, Albania, ALB
-1.4006424, 2060-2079, ccsm4, Feb Anomaly, Albania, ALB
2.951955, 2060-2079, ccsm4, Mar Anomaly, Albania, ALB
-14.580524, 2060-2079, ccsm4, Apr Anomaly, Albania, ALB
-2.241563, 2060-2079, ccsm4, May Anomaly, Albania, ALB
1.9569231, 2060-2079, ccsm4, Jun Anomaly, Albania, ALB
0.7847826, 2060-2079, ccsm4, Jul Anomaly, Albania, ALB
-3.257463, 2060-2079, ccsm4, Aug Anomaly, Albania, ALB
0.46944427, 2060-2079, ccsm4, Sep Anomaly, Albania, ALB
8.496684, 2060-2079, ccsm4, Oct Anomaly, Albania, ALB
-30.523605, 2060-2079, ccsm4, Nov Anomaly, Albania, ALB
-30.710083, 2060-2079, ccsm4, Dec Anomaly, Albania, ALB
20.943932, 2060-2079, cesm1_cam5, Jan Anomaly, Albania, ALB
-7.114882, 2060-2079, cesm1_cam5, Feb Anomaly, Albania, ALB
-4.164125, 2060-2079, cesm1_cam5, Mar Anomaly, Albania, ALB
3.395935, 2060-2079, cesm1_cam5, Apr Anomaly, Albania, ALB
3.3371837, 2060-2079, cesm1_cam5, May Anomaly, Albania, ALB
2.5405312, 2060-2079, cesm1_cam5, Jun Anomaly, Albania, ALB
0.48146185, 2060-2079, cesm1_cam5, Jul Anomaly, Albania, ALB
-0.15456231, 2060-2079, cesm1_cam5, Aug Anomaly, Albania, ALB
3.1860733, 2060-2079, cesm1_cam5, Sep Anomaly, Albania, ALB
15.811259, 2060-2079, cesm1_cam5, Oct Anomaly, Albania, ALB
23.038195, 2060-2079, cesm1_cam5, Nov Anomaly, Albania, ALB
-18.527681, 2060-2079, cesm1_cam5, Dec Anomaly, Albania, ALB
-16.946695, 2060-2079, csiro_mk3_6_0, Jan Anomaly, Albania, ALB
-4.0872903, 2060-2079, csiro_mk3_6_0, Feb Anomaly, Albania, ALB
-7.8182144, 2060-2079, csiro_mk3_6_0, Mar Anomaly, Albania, ALB
-2.3492572, 2060-2079, csiro_mk3_6_0, Apr Anomaly, Albania, ALB
-5.5016036, 2060-2079, csiro_mk3_6_0, May Anomaly, Albania, ALB
-3.9209065, 2060-2079, csiro_mk3_6_0, Jun Anomaly, Albania, ALB
-1.9505712, 2060-2079, csiro_mk3_6_0, Jul Anomaly, Albania, ALB
-2.3141787, 2060-2079, csiro_mk3_6_0, Aug Anomaly, Albania, ALB
-9.663863, 2060-2079, csiro_mk3_6_0, Sep Anomaly, Albania, ALB
-23.43498, 2060-2079, csiro_mk3_6_0, Oct Anomaly, Albania, ALB
-27.551928, 2060-2079, csiro_mk3_6_0, Nov Anomaly, Albania, ALB
-11.79919, 2060-2079, csiro_mk3_6_0, Dec Anomaly, Albania, ALB
-12.493573, 2060-2079, fio_esm, Jan Anomaly, Albania, ALB
-2.4006298, 2060-2079, fio_esm, Feb Anomaly, Albania, ALB
-14.04129, 2060-2079, fio_esm, Mar Anomaly, Albania, ALB
-3.5827816, 2060-2079, fio_esm, Apr Anomaly, Albania, ALB
-19.833044, 2060-2079, fio_esm, May Anomaly, Albania, ALB
-9.454516, 2060-2079, fio_esm, Jun Anomaly, Albania, ALB
1.3512491, 2060-2079, fio_esm, Jul Anomaly, Albania, ALB
-8.668131, 2060-2079, fio_esm, Aug Anomaly, Albania, ALB
-2.0103264, 2060-2079, fio_esm, Sep Anomaly, Albania, ALB
-20.357218, 2060-2079, fio_esm, Oct Anomaly, Albania, ALB
-7.7226005, 2060-2079, fio_esm, Nov Anomaly, Albania, ALB
-11.575414, 2060-2079, fio_esm, Dec Anomaly, Albania, ALB
-6.395205, 2060-2079, gfdl_cm3, Jan Anomaly, Albania, ALB
1.9591293, 2060-2079, gfdl_cm3, Feb Anomaly, Albania, ALB
-20.188267, 2060-2079, gfdl_cm3, Mar Anomaly, Albania, ALB
-1.012703, 2060-2079, gfdl_cm3, Apr Anomaly, Albania, ALB
-3.9361203, 2060-2079, gfdl_cm3, May Anomaly, Albania, ALB
-1.1825842, 2060-2079, gfdl_cm3, Jun Anomaly, Albania, ALB
-7.3961773, 2060-2079, gfdl_cm3, Jul Anomaly, Albania, ALB
-11.298597, 2060-2079, gfdl_cm3, Aug Anomaly, Albania, ALB
2.4306743, 2060-2079, gfdl_cm3, Sep Anomaly, Albania, ALB
-22.732796, 2060-2079, gfdl_cm3, Oct Anomaly, Albania, ALB
-15.632645, 2060-2079, gfdl_cm3, Nov Anomaly, Albania, ALB
-30.78343, 2060-2079, gfdl_cm3, Dec Anomaly, Albania, ALB
-14.871356, 2060-2079, gfdl_esm2m, Jan Anomaly, Albania, ALB
-4.2147164, 2060-2079, gfdl_esm2m, Feb Anomaly, Albania, ALB
-12.722739, 2060-2079, gfdl_esm2m, Mar Anomaly, Albania, ALB
-0.9541753, 2060-2079, gfdl_esm2m, Apr Anomaly, Albania, ALB
5.6128936, 2060-2079, gfdl_esm2m, May Anomaly, Albania, ALB
-10.674348, 2060-2079, gfdl_esm2m, Jun Anomaly, Albania, ALB
6.3593273, 2060-2079, gfdl_esm2m, Jul Anomaly, Albania, ALB
-12.3469305, 2060-2079, gfdl_esm2m, Aug Anomaly, Albania, ALB
-15.580916, 2060-2079, gfdl_esm2m, Sep Anomaly, Albania, ALB
-14.979917, 2060-2079, gfdl_esm2m, Oct Anomaly, Albania, ALB
-14.935695, 2060-2079, gfdl_esm2m, Nov Anomaly, Albania, ALB
-0.71423596, 2060-2079, gfdl_esm2m, Dec Anomaly, Albania, ALB
7.456434, 2060-2079, giss_e2_h, Jan Anomaly, Albania, ALB
-26.096361, 2060-2079, giss_e2_h, Feb Anomaly, Albania, ALB
-14.757712, 2060-2079, giss_e2_h, Mar Anomaly, Albania, ALB
-0.26756033, 2060-2079, giss_e2_h, Apr Anomaly, Albania, ALB
-0.65057117, 2060-2079, giss_e2_h, May Anomaly, Albania, ALB
-5.3335967, 2060-2079, giss_e2_h, Jun Anomaly, Albania, ALB
-15.009181, 2060-2079, giss_e2_h, Jul Anomaly, Albania, ALB
4.4956164, 2060-2079, giss_e2_h, Aug Anomaly, Albania, ALB
-6.263246, 2060-2079, giss_e2_h, Sep Anomaly, Albania, ALB
21.361193, 2060-2079, giss_e2_h, Oct Anomaly, Albania, ALB
24.459684, 2060-2079, giss_e2_h, Nov Anomaly, Albania, ALB
-33.83541, 2060-2079, giss_e2_h, Dec Anomaly, Albania, ALB
3.2175179, 2060-2079, giss_e2_r, Jan Anomaly, Albania, ALB
9.052612, 2060-2079, giss_e2_r, Feb Anomaly, Albania, ALB
1.3263067, 2060-2079, giss_e2_r, Mar Anomaly, Albania, ALB
