Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-6.32184, 2040-2059, bcc_csm1_1, Jan Anomaly, Afghanistan, AFG
3.014879, 2040-2059, bcc_csm1_1, Feb Anomaly, Afghanistan, AFG
1.8263575, 2040-2059, bcc_csm1_1, Mar Anomaly, Afghanistan, AFG
-0.90136224, 2040-2059, bcc_csm1_1, Apr Anomaly, Afghanistan, AFG
-2.9796968, 2040-2059, bcc_csm1_1, May Anomaly, Afghanistan, AFG
1.0288848, 2040-2059, bcc_csm1_1, Jun Anomaly, Afghanistan, AFG
2.1827538, 2040-2059, bcc_csm1_1, Jul Anomaly, Afghanistan, AFG
0.8478466, 2040-2059, bcc_csm1_1, Aug Anomaly, Afghanistan, AFG
1.3654182, 2040-2059, bcc_csm1_1, Sep Anomaly, Afghanistan, AFG
-1.5222179, 2040-2059, bcc_csm1_1, Oct Anomaly, Afghanistan, AFG
-1.5598695, 2040-2059, bcc_csm1_1, Nov Anomaly, Afghanistan, AFG
0.46828368, 2040-2059, bcc_csm1_1, Dec Anomaly, Afghanistan, AFG
-5.7230067, 2040-2059, bcc_csm1_1_m, Jan Anomaly, Afghanistan, AFG
-4.124951, 2040-2059, bcc_csm1_1_m, Feb Anomaly, Afghanistan, AFG
5.657708, 2040-2059, bcc_csm1_1_m, Mar Anomaly, Afghanistan, AFG
-6.994654, 2040-2059, bcc_csm1_1_m, Apr Anomaly, Afghanistan, AFG
1.2995743, 2040-2059, bcc_csm1_1_m, May Anomaly, Afghanistan, AFG
-1.1057065, 2040-2059, bcc_csm1_1_m, Jun Anomaly, Afghanistan, AFG
-4.097612, 2040-2059, bcc_csm1_1_m, Jul Anomaly, Afghanistan, AFG
9.103882, 2040-2059, bcc_csm1_1_m, Aug Anomaly, Afghanistan, AFG
-2.654431, 2040-2059, bcc_csm1_1_m, Sep Anomaly, Afghanistan, AFG
7.1082253, 2040-2059, bcc_csm1_1_m, Oct Anomaly, Afghanistan, AFG
-4.9414644, 2040-2059, bcc_csm1_1_m, Nov Anomaly, Afghanistan, AFG
5.8065386, 2040-2059, bcc_csm1_1_m, Dec Anomaly, Afghanistan, AFG
12.435899, 2040-2059, ccsm4, Jan Anomaly, Afghanistan, AFG
5.4892974, 2040-2059, ccsm4, Feb Anomaly, Afghanistan, AFG
-2.9517868, 2040-2059, ccsm4, Mar Anomaly, Afghanistan, AFG
-6.3861117, 2040-2059, ccsm4, Apr Anomaly, Afghanistan, AFG
-3.21032, 2040-2059, ccsm4, May Anomaly, Afghanistan, AFG
0.3140333, 2040-2059, ccsm4, Jun Anomaly, Afghanistan, AFG
6.4198833, 2040-2059, ccsm4, Jul Anomaly, Afghanistan, AFG
-8.632526, 2040-2059, ccsm4, Aug Anomaly, Afghanistan, AFG
-5.6194224, 2040-2059, ccsm4, Sep Anomaly, Afghanistan, AFG
-1.525945, 2040-2059, ccsm4, Oct Anomaly, Afghanistan, AFG
16.170631, 2040-2059, ccsm4, Nov Anomaly, Afghanistan, AFG
7.580897, 2040-2059, ccsm4, Dec Anomaly, Afghanistan, AFG
-0.5524517, 2040-2059, cesm1_cam5, Jan Anomaly, Afghanistan, AFG
0.82517135, 2040-2059, cesm1_cam5, Feb Anomaly, Afghanistan, AFG
9.847105, 2040-2059, cesm1_cam5, Mar Anomaly, Afghanistan, AFG
9.339537, 2040-2059, cesm1_cam5, Apr Anomaly, Afghanistan, AFG
0.36730376, 2040-2059, cesm1_cam5, May Anomaly, Afghanistan, AFG
1.4948092, 2040-2059, cesm1_cam5, Jun Anomaly, Afghanistan, AFG
-1.588686, 2040-2059, cesm1_cam5, Jul Anomaly, Afghanistan, AFG
1.8701918, 2040-2059, cesm1_cam5, Aug Anomaly, Afghanistan, AFG
1.0425754, 2040-2059, cesm1_cam5, Sep Anomaly, Afghanistan, AFG
0.39719975, 2040-2059, cesm1_cam5, Oct Anomaly, Afghanistan, AFG
-1.907407, 2040-2059, cesm1_cam5, Nov Anomaly, Afghanistan, AFG
2.214005, 2040-2059, cesm1_cam5, Dec Anomaly, Afghanistan, AFG
1.9612576, 2040-2059, csiro_mk3_6_0, Jan Anomaly, Afghanistan, AFG
-1.9031763, 2040-2059, csiro_mk3_6_0, Feb Anomaly, Afghanistan, AFG
-6.100594, 2040-2059, csiro_mk3_6_0, Mar Anomaly, Afghanistan, AFG
-4.0337324, 2040-2059, csiro_mk3_6_0, Apr Anomaly, Afghanistan, AFG
1.1738936, 2040-2059, csiro_mk3_6_0, May Anomaly, Afghanistan, AFG
0.89107585, 2040-2059, csiro_mk3_6_0, Jun Anomaly, Afghanistan, AFG
1.2662922, 2040-2059, csiro_mk3_6_0, Jul Anomaly, Afghanistan, AFG
-0.12227259, 2040-2059, csiro_mk3_6_0, Aug Anomaly, Afghanistan, AFG
0.5355315, 2040-2059, csiro_mk3_6_0, Sep Anomaly, Afghanistan, AFG
-0.39557987, 2040-2059, csiro_mk3_6_0, Oct Anomaly, Afghanistan, AFG
4.0930367, 2040-2059, csiro_mk3_6_0, Nov Anomaly, Afghanistan, AFG
0.31187445, 2040-2059, csiro_mk3_6_0, Dec Anomaly, Afghanistan, AFG
-16.91941, 2040-2059, fio_esm, Jan Anomaly, Afghanistan, AFG
2.128125, 2040-2059, fio_esm, Feb Anomaly, Afghanistan, AFG
-1.5480713, 2040-2059, fio_esm, Mar Anomaly, Afghanistan, AFG
-4.4818563, 2040-2059, fio_esm, Apr Anomaly, Afghanistan, AFG
-6.683619, 2040-2059, fio_esm, May Anomaly, Afghanistan, AFG
-1.2430573, 2040-2059, fio_esm, Jun Anomaly, Afghanistan, AFG
0.40122506, 2040-2059, fio_esm, Jul Anomaly, Afghanistan, AFG
-5.925116, 2040-2059, fio_esm, Aug Anomaly, Afghanistan, AFG
0.024567518, 2040-2059, fio_esm, Sep Anomaly, Afghanistan, AFG
6.1065154, 2040-2059, fio_esm, Oct Anomaly, Afghanistan, AFG
-2.6577134, 2040-2059, fio_esm, Nov Anomaly, Afghanistan, AFG
-12.952495, 2040-2059, fio_esm, Dec Anomaly, Afghanistan, AFG
-1.0729392, 2040-2059, gfdl_cm3, Jan Anomaly, Afghanistan, AFG
-6.092255, 2040-2059, gfdl_cm3, Feb Anomaly, Afghanistan, AFG
-9.737129, 2040-2059, gfdl_cm3, Mar Anomaly, Afghanistan, AFG
9.208257, 2040-2059, gfdl_cm3, Apr Anomaly, Afghanistan, AFG
3.1384203, 2040-2059, gfdl_cm3, May Anomaly, Afghanistan, AFG
5.455568, 2040-2059, gfdl_cm3, Jun Anomaly, Afghanistan, AFG
0.11386181, 2040-2059, gfdl_cm3, Jul Anomaly, Afghanistan, AFG
1.0495615, 2040-2059, gfdl_cm3, Aug Anomaly, Afghanistan, AFG
1.2676967, 2040-2059, gfdl_cm3, Sep Anomaly, Afghanistan, AFG
0.42321828, 2040-2059, gfdl_cm3, Oct Anomaly, Afghanistan, AFG
-1.0378016, 2040-2059, gfdl_cm3, Nov Anomaly, Afghanistan, AFG
3.0880382, 2040-2059, gfdl_cm3, Dec Anomaly, Afghanistan, AFG
0.85950303, 2040-2059, gfdl_esm2m, Jan Anomaly, Afghanistan, AFG
2.8823774, 2040-2059, gfdl_esm2m, Feb Anomaly, Afghanistan, AFG
9.702235, 2040-2059, gfdl_esm2m, Mar Anomaly, Afghanistan, AFG
8.671316, 2040-2059, gfdl_esm2m, Apr Anomaly, Afghanistan, AFG
0.17811856, 2040-2059, gfdl_esm2m, May Anomaly, Afghanistan, AFG
3.0718987, 2040-2059, gfdl_esm2m, Jun Anomaly, Afghanistan, AFG
-1.0454412, 2040-2059, gfdl_esm2m, Jul Anomaly, Afghanistan, AFG
-0.60214907, 2040-2059, gfdl_esm2m, Aug Anomaly, Afghanistan, AFG
-6.6975064, 2040-2059, gfdl_esm2m, Sep Anomaly, Afghanistan, AFG
-1.0528837, 2040-2059, gfdl_esm2m, Oct Anomaly, Afghanistan, AFG
4.8236895, 2040-2059, gfdl_esm2m, Nov Anomaly, Afghanistan, AFG
4.192536, 2040-2059, gfdl_esm2m, Dec Anomaly, Afghanistan, AFG
2.7397099, 2040-2059, giss_e2_h, Jan Anomaly, Afghanistan, AFG
7.3505964, 2040-2059, giss_e2_h, Feb Anomaly, Afghanistan, AFG
10.38941, 2040-2059, giss_e2_h, Mar Anomaly, Afghanistan, AFG
5.189585, 2040-2059, giss_e2_h, Apr Anomaly, Afghanistan, AFG
1.0627733, 2040-2059, giss_e2_h, May Anomaly, Afghanistan, AFG
2.3680165, 2040-2059, giss_e2_h, Jun Anomaly, Afghanistan, AFG
2.7202597, 2040-2059, giss_e2_h, Jul Anomaly, Afghanistan, AFG
0.17448314, 2040-2059, giss_e2_h, Aug Anomaly, Afghanistan, AFG
0.1360674, 2040-2059, giss_e2_h, Sep Anomaly, Afghanistan, AFG
2.1102254, 2040-2059, giss_e2_h, Oct Anomaly, Afghanistan, AFG
-2.1489089, 2040-2059, giss_e2_h, Nov Anomaly, Afghanistan, AFG
9.694823, 2040-2059, giss_e2_h, Dec Anomaly, Afghanistan, AFG
-1.3358086, 2040-2059, giss_e2_r, Jan Anomaly, Afghanistan, AFG
4.7719817, 2040-2059, giss_e2_r, Feb Anomaly, Afghanistan, AFG
-10.6496525, 2040-2059, giss_e2_r, Mar Anomaly, Afghanistan, AFG
-9.407835, 2040-2059, giss_e2_r, Apr Anomaly, Afghanistan, AFG
-10.443701, 2040-2059, giss_e2_r, May Anomaly, Afghanistan, AFG
