Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
9.160942, 2020-2039, bcc_csm1_1, Jan Anomaly, Andorra, AND
-1.5516777, 2020-2039, bcc_csm1_1, Feb Anomaly, Andorra, AND
1.7637787, 2020-2039, bcc_csm1_1, Mar Anomaly, Andorra, AND
3.794876, 2020-2039, bcc_csm1_1, Apr Anomaly, Andorra, AND
-8.2359085, 2020-2039, bcc_csm1_1, May Anomaly, Andorra, AND
4.0471725, 2020-2039, bcc_csm1_1, Jun Anomaly, Andorra, AND
-2.490509, 2020-2039, bcc_csm1_1, Jul Anomaly, Andorra, AND
-4.953142, 2020-2039, bcc_csm1_1, Aug Anomaly, Andorra, AND
-1.9349861, 2020-2039, bcc_csm1_1, Sep Anomaly, Andorra, AND
12.858288, 2020-2039, bcc_csm1_1, Oct Anomaly, Andorra, AND
10.019772, 2020-2039, bcc_csm1_1, Nov Anomaly, Andorra, AND
-6.901932, 2020-2039, bcc_csm1_1, Dec Anomaly, Andorra, AND
9.816004, 2020-2039, bcc_csm1_1, Jan Anomaly, Andorra, AND
-2.1028185, 2020-2039, bcc_csm1_1, Feb Anomaly, Andorra, AND
0.28212833, 2020-2039, bcc_csm1_1, Mar Anomaly, Andorra, AND
4.457657, 2020-2039, bcc_csm1_1, Apr Anomaly, Andorra, AND
-7.576979, 2020-2039, bcc_csm1_1, May Anomaly, Andorra, AND
4.0579467, 2020-2039, bcc_csm1_1, Jun Anomaly, Andorra, AND
-2.2433074, 2020-2039, bcc_csm1_1, Jul Anomaly, Andorra, AND
-6.370109, 2020-2039, bcc_csm1_1, Aug Anomaly, Andorra, AND
-1.9308156, 2020-2039, bcc_csm1_1, Sep Anomaly, Andorra, AND
14.024227, 2020-2039, bcc_csm1_1, Oct Anomaly, Andorra, AND
11.030965, 2020-2039, bcc_csm1_1, Nov Anomaly, Andorra, AND
-5.9179707, 2020-2039, bcc_csm1_1, Dec Anomaly, Andorra, AND
12.872089, 2020-2039, bcc_csm1_1_m, Jan Anomaly, Andorra, AND
3.445137, 2020-2039, bcc_csm1_1_m, Feb Anomaly, Andorra, AND
-4.229271, 2020-2039, bcc_csm1_1_m, Mar Anomaly, Andorra, AND
-5.216797, 2020-2039, bcc_csm1_1_m, Apr Anomaly, Andorra, AND
-0.9617958, 2020-2039, bcc_csm1_1_m, May Anomaly, Andorra, AND
-9.5751705, 2020-2039, bcc_csm1_1_m, Jun Anomaly, Andorra, AND
-5.0491085, 2020-2039, bcc_csm1_1_m, Jul Anomaly, Andorra, AND
5.1646566, 2020-2039, bcc_csm1_1_m, Aug Anomaly, Andorra, AND
-3.3744354, 2020-2039, bcc_csm1_1_m, Sep Anomaly, Andorra, AND
-4.660885, 2020-2039, bcc_csm1_1_m, Oct Anomaly, Andorra, AND
-3.6296616, 2020-2039, bcc_csm1_1_m, Nov Anomaly, Andorra, AND
-2.5644455, 2020-2039, bcc_csm1_1_m, Dec Anomaly, Andorra, AND
13.8150835, 2020-2039, bcc_csm1_1_m, Jan Anomaly, Andorra, AND
1.9554405, 2020-2039, bcc_csm1_1_m, Feb Anomaly, Andorra, AND
-3.3632317, 2020-2039, bcc_csm1_1_m, Mar Anomaly, Andorra, AND
-4.6096673, 2020-2039, bcc_csm1_1_m, Apr Anomaly, Andorra, AND
-1.6074755, 2020-2039, bcc_csm1_1_m, May Anomaly, Andorra, AND
-8.009848, 2020-2039, bcc_csm1_1_m, Jun Anomaly, Andorra, AND
-4.683641, 2020-2039, bcc_csm1_1_m, Jul Anomaly, Andorra, AND
2.4195933, 2020-2039, bcc_csm1_1_m, Aug Anomaly, Andorra, AND
-4.226845, 2020-2039, bcc_csm1_1_m, Sep Anomaly, Andorra, AND
-3.9805686, 2020-2039, bcc_csm1_1_m, Oct Anomaly, Andorra, AND
-5.1969237, 2020-2039, bcc_csm1_1_m, Nov Anomaly, Andorra, AND
-1.6787823, 2020-2039, bcc_csm1_1_m, Dec Anomaly, Andorra, AND
