Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-3.7482426, 2020-2039, miroc_esm, Jul Anomaly, Brazil, BRA
-4.0572786, 2020-2039, miroc_esm, Aug Anomaly, Brazil, BRA
-7.163676, 2020-2039, miroc_esm, Sep Anomaly, Brazil, BRA
-5.5383987, 2020-2039, miroc_esm, Oct Anomaly, Brazil, BRA
1.3364232, 2020-2039, miroc_esm, Nov Anomaly, Brazil, BRA
-0.929617, 2020-2039, miroc_esm, Dec Anomaly, Brazil, BRA
-7.5138626, 2020-2039, miroc_esm_chem, Jan Anomaly, Brazil, BRA
-8.164279, 2020-2039, miroc_esm_chem, Feb Anomaly, Brazil, BRA
-23.141125, 2020-2039, miroc_esm_chem, Mar Anomaly, Brazil, BRA
-7.9190655, 2020-2039, miroc_esm_chem, Apr Anomaly, Brazil, BRA
-12.493498, 2020-2039, miroc_esm_chem, May Anomaly, Brazil, BRA
-5.4099574, 2020-2039, miroc_esm_chem, Jun Anomaly, Brazil, BRA
-4.779506, 2020-2039, miroc_esm_chem, Jul Anomaly, Brazil, BRA
-2.2632747, 2020-2039, miroc_esm_chem, Aug Anomaly, Brazil, BRA
-5.9124002, 2020-2039, miroc_esm_chem, Sep Anomaly, Brazil, BRA
-11.239305, 2020-2039, miroc_esm_chem, Oct Anomaly, Brazil, BRA
-10.858993, 2020-2039, miroc_esm_chem, Nov Anomaly, Brazil, BRA
-6.003009, 2020-2039, miroc_esm_chem, Dec Anomaly, Brazil, BRA
20.097078, 2020-2039, miroc5, Jan Anomaly, Brazil, BRA
5.703676, 2020-2039, miroc5, Feb Anomaly, Brazil, BRA
3.124054, 2020-2039, miroc5, Mar Anomaly, Brazil, BRA
1.169992, 2020-2039, miroc5, Apr Anomaly, Brazil, BRA
0.9048015, 2020-2039, miroc5, May Anomaly, Brazil, BRA
-0.39378253, 2020-2039, miroc5, Jun Anomaly, Brazil, BRA
-4.0810432, 2020-2039, miroc5, Jul Anomaly, Brazil, BRA
-4.840788, 2020-2039, miroc5, Aug Anomaly, Brazil, BRA
4.411808, 2020-2039, miroc5, Sep Anomaly, Brazil, BRA
0.36319214, 2020-2039, miroc5, Oct Anomaly, Brazil, BRA
15.247142, 2020-2039, miroc5, Nov Anomaly, Brazil, BRA
19.129353, 2020-2039, miroc5, Dec Anomaly, Brazil, BRA
10.492226, 2020-2039, mri_cgcm3, Jan Anomaly, Brazil, BRA
17.525562, 2020-2039, mri_cgcm3, Feb Anomaly, Brazil, BRA
6.941263, 2020-2039, mri_cgcm3, Mar Anomaly, Brazil, BRA
11.278187, 2020-2039, mri_cgcm3, Apr Anomaly, Brazil, BRA
