Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
9.954043, 2060-2079, bcc_csm1_1, Jan Anomaly, Albania, ALB
-1.3387871, 2060-2079, bcc_csm1_1, Feb Anomaly, Albania, ALB
-7.255918, 2060-2079, bcc_csm1_1, Mar Anomaly, Albania, ALB
-1.2511812, 2060-2079, bcc_csm1_1, Apr Anomaly, Albania, ALB
-3.762544, 2060-2079, bcc_csm1_1, May Anomaly, Albania, ALB
-8.496863, 2060-2079, bcc_csm1_1, Jun Anomaly, Albania, ALB
-10.383683, 2060-2079, bcc_csm1_1, Jul Anomaly, Albania, ALB
-9.401419, 2060-2079, bcc_csm1_1, Aug Anomaly, Albania, ALB
-11.941112, 2060-2079, bcc_csm1_1, Sep Anomaly, Albania, ALB
-9.344567, 2060-2079, bcc_csm1_1, Oct Anomaly, Albania, ALB
2.6084545, 2060-2079, bcc_csm1_1, Nov Anomaly, Albania, ALB
12.236946, 2060-2079, bcc_csm1_1, Dec Anomaly, Albania, ALB
10.840861, 2060-2079, bcc_csm1_1_m, Jan Anomaly, Albania, ALB
-6.2845078, 2060-2079, bcc_csm1_1_m, Feb Anomaly, Albania, ALB
3.4257877, 2060-2079, bcc_csm1_1_m, Mar Anomaly, Albania, ALB
9.051173, 2060-2079, bcc_csm1_1_m, Apr Anomaly, Albania, ALB
0.6882267, 2060-2079, bcc_csm1_1_m, May Anomaly, Albania, ALB
-16.85415, 2060-2079, bcc_csm1_1_m, Jun Anomaly, Albania, ALB
-3.7042642, 2060-2079, bcc_csm1_1_m, Jul Anomaly, Albania, ALB
-11.272707, 2060-2079, bcc_csm1_1_m, Aug Anomaly, Albania, ALB
-9.121046, 2060-2079, bcc_csm1_1_m, Sep Anomaly, Albania, ALB
-21.017443, 2060-2079, bcc_csm1_1_m, Oct Anomaly, Albania, ALB
6.2310767, 2060-2079, bcc_csm1_1_m, Nov Anomaly, Albania, ALB
7.7457657, 2060-2079, bcc_csm1_1_m, Dec Anomaly, Albania, ALB
-2.9986293, 2060-2079, ccsm4, Jan Anomaly, Albania, ALB
-8.466886, 2060-2079, ccsm4, Feb Anomaly, Albania, ALB
-10.298211, 2060-2079, ccsm4, Mar Anomaly, Albania, ALB
-17.806028, 2060-2079, ccsm4, Apr Anomaly, Albania, ALB
-8.45624, 2060-2079, ccsm4, May Anomaly, Albania, ALB
-5.800166, 2060-2079, ccsm4, Jun Anomaly, Albania, ALB
-5.2970023, 2060-2079, ccsm4, Jul Anomaly, Albania, ALB
