Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
2.2419996, 2060-2079, bcc_csm1_1, Jan Anomaly, Algeria, DZA
0.28060585, 2060-2079, bcc_csm1_1, Feb Anomaly, Algeria, DZA
0.8394326, 2060-2079, bcc_csm1_1, Mar Anomaly, Algeria, DZA
3.2304928, 2060-2079, bcc_csm1_1, Apr Anomaly, Algeria, DZA
-2.1835482, 2060-2079, bcc_csm1_1, May Anomaly, Algeria, DZA
-2.2756681, 2060-2079, bcc_csm1_1, Jun Anomaly, Algeria, DZA
-2.8402207, 2060-2079, bcc_csm1_1, Jul Anomaly, Algeria, DZA
-2.7726977, 2060-2079, bcc_csm1_1, Aug Anomaly, Algeria, DZA
-4.3681774, 2060-2079, bcc_csm1_1, Sep Anomaly, Algeria, DZA
4.422756, 2060-2079, bcc_csm1_1, Oct Anomaly, Algeria, DZA
-2.442999, 2060-2079, bcc_csm1_1, Nov Anomaly, Algeria, DZA
0.8360113, 2060-2079, bcc_csm1_1, Dec Anomaly, Algeria, DZA
-0.84588575, 2060-2079, bcc_csm1_1_m, Jan Anomaly, Algeria, DZA
-1.3229468, 2060-2079, bcc_csm1_1_m, Feb Anomaly, Algeria, DZA
0.4612973, 2060-2079, bcc_csm1_1_m, Mar Anomaly, Algeria, DZA
0.9051006, 2060-2079, bcc_csm1_1_m, Apr Anomaly, Algeria, DZA
1.0500959, 2060-2079, bcc_csm1_1_m, May Anomaly, Algeria, DZA
-1.8111353, 2060-2079, bcc_csm1_1_m, Jun Anomaly, Algeria, DZA
0.054616537, 2060-2079, bcc_csm1_1_m, Jul Anomaly, Algeria, DZA
-1.6262302, 2060-2079, bcc_csm1_1_m, Aug Anomaly, Algeria, DZA
-0.4289427, 2060-2079, bcc_csm1_1_m, Sep Anomaly, Algeria, DZA
-0.13515244, 2060-2079, bcc_csm1_1_m, Oct Anomaly, Algeria, DZA
-0.5503958, 2060-2079, bcc_csm1_1_m, Nov Anomaly, Algeria, DZA
-0.80438167, 2060-2079, bcc_csm1_1_m, Dec Anomaly, Algeria, DZA
0.4044049, 2060-2079, ccsm4, Jan Anomaly, Algeria, DZA
0.5436182, 2060-2079, ccsm4, Feb Anomaly, Algeria, DZA
-0.022085588, 2060-2079, ccsm4, Mar Anomaly, Algeria, DZA
